campaign_id,server,entity,ip,datetime_gride,sent_detail,r_sent_detail,sent_per_ip,r_sent_per_ip,offset,limit,limit_per_ip,error_type_from_error,outSum,drop_number,is_first_drop,first_used_at,previous_r_sent_per_ip,volume_change,growth_rate,sent_ratio,lost_volume,cumulative_r_sent_per_ip,daily_cumulative_r_sent_per_ip,volume_category,hour,day_of_week,drops_per_day,error_code,date,days_since_launch
25667759,s_cmh2_6101,cmh2,107.6.171.226,2026-04-13 22:03:00,69500,46550,13900,0,6412,69500,13900,Rate limit DKIM,48149,1,1,2026-04-13 22:03:00,0.0,0,0.0,0.0,13900,0,0,Low,22,0,1,2,2026-04-13,0
25700629,s_cmh2_6101,cmh2,107.6.171.226,2026-04-14 16:57:17,105000,21482,21000,482,129000,105000,21000,No error,,2,0,2026-04-13 22:03:00,0.0,482,0.0,0.022952380952380953,20518,482,482,Low,16,1,1,0,2026-04-14,0
25718931,s_cmh2_6101,cmh2,107.6.171.226,2026-04-15 00:58:43,30854,48,3085,0,342000,80000,8000,No error,,3,0,2026-04-13 22:03:00,482.0,-482,-1.0,0.0,3085,482,0,Low,0,2,5,0,2026-04-15,1
25718931,s_cmh2_6101,cmh2,107.6.171.226,2026-04-15 00:58:43,30854,48,3085,0,342000,80000,8000,No error,,4,0,2026-04-13 22:03:00,0.0,0,0.0,0.0,3085,482,0,Low,0,2,5,0,2026-04-15,1
25719931,s_cmh2_6101,cmh2,107.6.171.226,2026-04-15 01:32:17,64000,48002,16000,2,6730,64000,16000,Rate limit DKIM,48055,5,0,2026-04-13 22:03:00,0.0,2,0.0,0.000125,15998,484,2,Low,1,2,5,2,2026-04-15,1
25760298,s_cmh2_6101,cmh2,107.6.171.226,2026-04-15 23:17:16,20000,5738,10000,0,0,20000,10000,Rate limit SPF,5738,6,0,2026-04-13 22:03:00,2.0,-2,-1.0,0.0,10000,484,2,Low,23,2,5,1,2026-04-15,2
25761328,s_cmh2_6101,cmh2,107.6.171.226,2026-04-15 23:40:16,20000,16,10000,0,20000,20000,10000,Other,11,7,0,2026-04-13 22:03:00,0.0,0,0.0,0.0,10000,484,2,Low,23,2,5,0,2026-04-15,2
25794425,s_cmh2_6101,cmh2,107.6.171.226,2026-04-16 17:52:16,20500,8262,10250,0,0,20500,10250,No error,,8,0,2026-04-13 22:03:00,0.0,0,0.0,0.0,10250,484,0,Low,17,3,1,0,2026-04-16,2
25810440,s_cmh2_6101,cmh2,107.6.171.226,2026-04-17 00:56:16,20500,0,10250,0,6412,20500,10250,Connection closed,7318,9,0,2026-04-13 22:03:00,0.0,0,0.0,0.0,10250,484,0,Low,0,4,1,0,2026-04-17,3
25631666,s_cmh2_6101,cmh2,107.6.171.227,2026-04-12 23:47:17,41100,41101,13700,13701,259700,41100,13700,No error,,1,1,2026-04-12 23:47:17,0.0,13701,0.0,1.00007299270073,-1,13701,13701,Medium,23,6,1,0,2026-04-12,0
25667759,s_cmh2_6101,cmh2,107.6.171.227,2026-04-13 22:03:00,69500,46550,13900,13900,6412,69500,13900,No error,,2,0,2026-04-12 23:47:17,13701.0,199,0.01452448726370338,1.0,0,27601,13900,Medium,22,0,4,0,2026-04-13,0
25669478,s_cmh2_6101,cmh2,107.6.171.227,2026-04-13 22:39:17,45300,45306,15100,15102,75912,45300,15100,No error,,3,0,2026-04-12 23:47:17,13900.0,1202,0.0864748201438849,1.0001324503311257,-2,42703,29002,Medium,22,0,4,0,2026-04-13,0
25670750,s_cmh2_6101,cmh2,107.6.171.227,2026-04-13 23:14:17,45900,45901,15300,15301,121212,45900,15300,No error,,4,0,2026-04-12 23:47:17,15102.0,199,0.01317706264070984,1.0000653594771243,-1,58004,44303,Medium,23,0,4,0,2026-04-13,0
25672148,s_cmh2_6101,cmh2,107.6.171.227,2026-04-13 23:49:17,46500,46497,15500,15500,167112,46500,15500,No error,,5,0,2026-04-12 23:47:17,15301.0,199,0.013005685902882164,1.0,0,73504,59803,Medium,23,0,4,0,2026-04-13,1
25673186,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 00:24:17,47100,47101,15700,15701,213612,47100,15700,No error,,6,0,2026-04-12 23:47:17,15500.0,201,0.01296774193548387,1.0000636942675158,-1,89205,15701,Medium,0,1,9,0,2026-04-14,1
25674252,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 00:59:18,49500,0,16500,0,260712,49500,16500,Other,49570,7,0,2026-04-12 23:47:17,15701.0,-15701,-1.0,0.0,16500,89205,15701,Low,0,1,9,0,2026-04-14,1
25675321,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 01:34:17,55500,55497,18500,18497,310212,55500,18500,No error,,8,0,2026-04-12 23:47:17,0.0,18497,0.0,0.9998378378378379,3,107702,34198,Medium,1,1,9,0,2026-04-14,1
25676269,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 02:09:17,7191,7195,2397,2399,365712,60000,20000,No error,,9,0,2026-04-12 23:47:17,18497.0,-16098,-0.8703032924257987,1.000834376303713,-2,110101,36597,Low,2,1,9,0,2026-04-14,1
25677278,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 02:44:17,63000,47984,21000,5984,0,63000,21000,Rate limit SPF,47984,10,0,2026-04-12 23:47:17,2399.0,3585,1.4943726552730305,0.28495238095238096,15016,116085,42581,Low,2,1,9,1,2026-04-14,1
25677974,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 03:19:17,66000,21606,22000,0,63000,66000,22000,Connection closed,21816,11,0,2026-04-12 23:47:17,5984.0,-5984,-1.0,0.0,22000,116085,42581,Low,3,1,9,0,2026-04-14,1
25700629,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 16:57:17,105000,21482,21000,0,129000,105000,21000,No error,,12,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,21000,116085,42581,Low,16,1,9,0,2026-04-14,1
25701904,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 17:27:17,54000,18018,18000,0,234000,54000,18000,No error,,13,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,18000,116085,42581,Low,17,1,9,0,2026-04-14,1
25703148,s_cmh2_6101,cmh2,107.6.171.227,2026-04-14 17:57:17,54000,18017,18000,0,288000,54000,18000,No error,,14,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,18000,116085,42581,Low,17,1,9,0,2026-04-14,1
25718931,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 00:58:43,30854,48,3086,0,342000,80000,8000,No error,,15,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,3086,116085,0,Low,0,2,15,0,2026-04-15,2
25718931,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 00:58:43,30854,48,3086,0,342000,80000,8000,No error,,16,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,3086,116085,0,Low,0,2,15,0,2026-04-15,2
25719931,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 01:32:17,64000,48002,16000,16000,6730,64000,16000,No error,,17,0,2026-04-12 23:47:17,0.0,16000,0.0,1.0,0,132085,16000,Medium,1,2,15,0,2026-04-15,2
25720733,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 02:02:17,48000,48006,16000,16002,70730,48000,16000,No error,,18,0,2026-04-12 23:47:17,16000.0,2,0.000125,1.000125,-2,148087,32002,Medium,2,2,15,0,2026-04-15,2
25721537,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 02:32:17,48000,48003,16000,16001,118730,48000,16000,No error,,19,0,2026-04-12 23:47:17,16002.0,-1,-6.249218847644044e-05,1.0000625,-1,164088,48003,Medium,2,2,15,0,2026-04-15,2
25730893,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 10:41:17,48000,47998,16000,15998,166730,48000,16000,Other,47998,20,0,2026-04-12 23:47:17,16001.0,-3,-0.0001874882819823761,0.999875,2,180086,64001,Medium,10,2,15,0,2026-04-15,2
25733028,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 12:02:17,48000,48001,16000,16001,262730,48000,16000,No error,,21,0,2026-04-12 23:47:17,15998.0,3,0.00018752344043005377,1.0000625,-1,196087,80002,Medium,12,2,15,0,2026-04-15,2
25734546,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 12:42:17,48000,36810,16000,4810,310730,48000,16000,Rate limit SPF,36809,22,0,2026-04-12 23:47:17,16001.0,-11191,-0.699393787888257,0.300625,11190,200897,84812,Low,12,2,15,1,2026-04-15,2
25735900,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 13:22:16,14065,9385,4689,9,358730,48000,16000,Rate limit SPF,9380,23,0,2026-04-12 23:47:17,4810.0,-4801,-0.9981288981288982,0.0019193857965451055,4680,200906,84821,Low,13,2,15,1,2026-04-15,2
25737507,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 14:02:18,48000,20687,16000,0,0,48000,16000,Connection closed,20823,24,0,2026-04-12 23:47:17,9.0,-9,-1.0,0.0,16000,200906,84821,Low,14,2,15,0,2026-04-15,2
25739204,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 14:42:16,33000,11023,11000,0,48000,33000,11000,Rate limit SPF,11022,25,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,11000,200906,84821,Low,14,2,15,1,2026-04-15,2
25740510,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 15:20:18,33000,11023,11000,0,81000,33000,11000,Rate limit SPF,11018,26,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,11000,200906,84821,Low,15,2,15,1,2026-04-15,2
25741789,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 16:02:17,33000,11137,11000,0,114000,33000,11000,Rate limit SPF,11272,27,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,11000,200906,84821,Low,16,2,15,1,2026-04-15,2
25743687,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 16:42:17,33000,11010,11000,0,147000,33000,11000,No error,,28,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,11000,200906,84821,Low,16,2,15,0,2026-04-15,2
25761194,s_cmh2_6101,cmh2,107.6.171.227,2026-04-15 23:36:16,351131,229805,117044,0,20000,371321,123774,Connection closed,205686,29,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,117044,200906,84821,Low,23,2,15,0,2026-04-15,2
25763037,s_cmh2_6101,cmh2,107.6.171.227,2026-04-16 00:23:45,150000,9268,50000,0,0,150000,50000,No error,,30,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,50000,200906,0,Low,0,3,1,0,2026-04-16,3
25631666,s_cmh2_6101,cmh2,107.6.171.228,2026-04-12 23:47:17,41100,41101,13700,13700,259700,41100,13700,No error,,1,1,2026-04-12 23:47:17,0.0,13700,0.0,1.0,0,13700,13700,Medium,23,6,1,0,2026-04-12,0
25667759,s_cmh2_6101,cmh2,107.6.171.228,2026-04-13 22:03:00,69500,46550,13900,13900,6412,69500,13900,No error,,2,0,2026-04-12 23:47:17,13700.0,200,0.014598540145985401,1.0,0,27600,13900,Medium,22,0,4,0,2026-04-13,0
25669478,s_cmh2_6101,cmh2,107.6.171.228,2026-04-13 22:39:17,45300,45306,15100,15102,75912,45300,15100,No error,,3,0,2026-04-12 23:47:17,13900.0,1202,0.0864748201438849,1.0001324503311257,-2,42702,29002,Medium,22,0,4,0,2026-04-13,0
25670750,s_cmh2_6101,cmh2,107.6.171.228,2026-04-13 23:14:17,45900,45901,15300,15300,121212,45900,15300,No error,,4,0,2026-04-12 23:47:17,15102.0,198,0.013110846245530394,1.0,0,58002,44302,Medium,23,0,4,0,2026-04-13,0
25672148,s_cmh2_6101,cmh2,107.6.171.228,2026-04-13 23:49:17,46500,46497,15500,15497,167112,46500,15500,Other,46497,5,0,2026-04-12 23:47:17,15300.0,197,0.012875816993464052,0.9998064516129033,3,73499,59799,Medium,23,0,4,0,2026-04-13,1
25673186,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 00:24:17,47100,47101,15700,15700,213612,47100,15700,No error,,6,0,2026-04-12 23:47:17,15497.0,203,0.013099309543782668,1.0,0,89199,15700,Medium,0,1,9,0,2026-04-14,1
25674252,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 00:59:18,49500,0,16500,0,260712,49500,16500,Other,49570,7,0,2026-04-12 23:47:17,15700.0,-15700,-1.0,0.0,16500,89199,15700,Low,0,1,9,0,2026-04-14,1
25675321,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 01:34:17,55500,55497,18500,18500,310212,55500,18500,No error,,8,0,2026-04-12 23:47:17,0.0,18500,0.0,1.0,0,107699,34200,Medium,1,1,9,0,2026-04-14,1
25676269,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 02:09:17,7191,7195,2397,2398,365712,60000,20000,No error,,9,0,2026-04-12 23:47:17,18500.0,-16102,-0.8703783783783784,1.0004171881518564,-1,110097,36598,Low,2,1,9,0,2026-04-14,1
25677278,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 02:44:17,63000,47984,21000,21000,0,63000,21000,No error,,10,0,2026-04-12 23:47:17,2398.0,18602,7.757297748123436,1.0,0,131097,57598,Medium,2,1,9,0,2026-04-14,1
25677974,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 03:19:17,66000,21606,22000,0,63000,66000,22000,Rate limit SPF,21816,11,0,2026-04-12 23:47:17,21000.0,-21000,-1.0,0.0,22000,131097,57598,Low,3,1,9,1,2026-04-14,1
25700629,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 16:57:17,105000,21482,21000,0,129000,105000,21000,No error,,12,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,21000,131097,57598,Low,16,1,9,0,2026-04-14,1
25701904,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 17:27:17,54000,18018,18000,18,234000,54000,18000,No error,,13,0,2026-04-12 23:47:17,0.0,18,0.0,0.001,17982,131115,57616,Low,17,1,9,0,2026-04-14,1
25703148,s_cmh2_6101,cmh2,107.6.171.228,2026-04-14 17:57:17,54000,18017,18000,17,288000,54000,18000,No error,,14,0,2026-04-12 23:47:17,18.0,-1,-0.05555555555555555,0.0009444444444444445,17983,131132,57633,Low,17,1,9,0,2026-04-14,1
25718931,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 00:58:43,30854,48,3086,0,342000,80000,8000,No error,,15,0,2026-04-12 23:47:17,17.0,-17,-1.0,0.0,3086,131132,0,Low,0,2,15,0,2026-04-15,2
25718931,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 00:58:43,30854,48,3086,0,342000,80000,8000,No error,,16,0,2026-04-12 23:47:17,0.0,0,0.0,0.0,3086,131132,0,Low,0,2,15,0,2026-04-15,2
25719931,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 01:32:17,64000,48002,16000,16000,6730,64000,16000,No error,,17,0,2026-04-12 23:47:17,0.0,16000,0.0,1.0,0,147132,16000,Medium,1,2,15,0,2026-04-15,2
25720733,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 02:02:17,48000,48006,16000,16002,70730,48000,16000,No error,,18,0,2026-04-12 23:47:17,16000.0,2,0.000125,1.000125,-2,163134,32002,Medium,2,2,15,0,2026-04-15,2
25721537,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 02:32:17,48000,48003,16000,16001,118730,48000,16000,No error,,19,0,2026-04-12 23:47:17,16002.0,-1,-6.249218847644044e-05,1.0000625,-1,179135,48003,Medium,2,2,15,0,2026-04-15,2
25730893,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 10:41:17,48000,47998,16000,16000,166730,48000,16000,Other,47998,20,0,2026-04-12 23:47:17,16001.0,-1,-6.249609399412537e-05,1.0,0,195135,64003,Medium,10,2,15,0,2026-04-15,2
25733028,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 12:02:17,48000,48001,16000,16000,262730,48000,16000,No error,,21,0,2026-04-12 23:47:17,16000.0,0,0.0,1.0,0,211135,80003,Medium,12,2,15,0,2026-04-15,2
25734546,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 12:42:17,48000,36810,16000,16000,310730,48000,16000,No error,,22,0,2026-04-12 23:47:17,16000.0,0,0.0,1.0,0,227135,96003,Medium,12,2,15,0,2026-04-15,2
25735900,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 13:22:16,14065,9385,4688,4688,358730,48000,16000,No error,,23,0,2026-04-12 23:47:17,16000.0,-11312,-0.707,1.0,0,231823,100691,Low,13,2,15,0,2026-04-15,2
25737507,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 14:02:18,48000,20687,16000,4687,0,48000,16000,Rate limit SPF,20823,24,0,2026-04-12 23:47:17,4688.0,-1,-0.00021331058020477816,0.2929375,11313,236510,105378,Low,14,2,15,1,2026-04-15,2
25739204,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 14:42:16,33000,11023,11000,23,48000,33000,11000,Connection closed,11022,25,0,2026-04-12 23:47:17,4687.0,-4664,-0.9950928098997226,0.0020909090909090908,10977,236533,105401,Low,14,2,15,0,2026-04-15,2
25740510,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 15:20:18,33000,11023,11000,23,81000,33000,11000,Rate limit SPF,11018,26,0,2026-04-12 23:47:17,23.0,0,0.0,0.0020909090909090908,10977,236556,105424,Low,15,2,15,1,2026-04-15,2
25741789,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 16:02:17,33000,11137,11000,137,114000,33000,11000,Connection closed,11272,27,0,2026-04-12 23:47:17,23.0,114,4.956521739130435,0.012454545454545454,10863,236693,105561,Low,16,2,15,0,2026-04-15,2
25743687,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 16:42:17,33000,11010,11000,10,147000,33000,11000,No error,,28,0,2026-04-12 23:47:17,137.0,-127,-0.927007299270073,0.0009090909090909091,10990,236703,105571,Low,16,2,15,0,2026-04-15,2
25761194,s_cmh2_6101,cmh2,107.6.171.228,2026-04-15 23:36:16,351131,229805,117044,112762,20000,371321,123774,Connection closed,205686,29,0,2026-04-12 23:47:17,10.0,112752,11275.2,0.9634154676873654,4282,349465,218333,High,23,2,15,0,2026-04-15,2
25763037,s_cmh2_6101,cmh2,107.6.171.228,2026-04-16 00:23:45,150000,9268,50000,0,0,150000,50000,No error,,30,0,2026-04-12 23:47:17,112762.0,-112762,-1.0,0.0,50000,349465,0,Low,0,3,1,0,2026-04-16,3
25667759,s_cmh2_6101,cmh2,107.6.171.229,2026-04-13 22:03:00,69500,46550,13900,4850,6412,69500,13900,Rate limit SPF,48149,1,1,2026-04-13 22:03:00,0.0,4850,0.0,0.3489208633093525,9050,4850,4850,Low,22,0,1,1,2026-04-13,0
25700629,s_cmh2_6101,cmh2,107.6.171.229,2026-04-14 16:57:17,105000,21482,21000,21000,129000,105000,21000,No error,,2,0,2026-04-13 22:03:00,4850.0,16150,3.329896907216495,1.0,0,25850,21000,Medium,16,1,1,0,2026-04-14,0
25718931,s_cmh2_6101,cmh2,107.6.171.229,2026-04-15 00:58:43,30854,48,3085,0,342000,80000,8000,No error,,3,0,2026-04-13 22:03:00,21000.0,-21000,-1.0,0.0,3085,25850,0,Low,0,2,4,0,2026-04-15,1
25718931,s_cmh2_6101,cmh2,107.6.171.229,2026-04-15 00:58:43,30854,48,3085,48,342000,80000,8000,No error,,4,0,2026-04-13 22:03:00,0.0,48,0.0,0.015559157212317666,3037,25898,48,Low,0,2,4,0,2026-04-15,1
25760298,s_cmh2_6101,cmh2,107.6.171.229,2026-04-15 23:17:16,20000,5738,10000,5738,0,20000,10000,Rate limit DKIM,5738,5,0,2026-04-13 22:03:00,48.0,5690,118.54166666666667,0.5738,4262,31636,5786,Low,23,2,4,2,2026-04-15,2
25761328,s_cmh2_6101,cmh2,107.6.171.229,2026-04-15 23:40:16,20000,16,10000,16,20000,20000,10000,Other,11,6,0,2026-04-13 22:03:00,5738.0,-5722,-0.9972115719762984,0.0016,9984,31652,5802,Low,23,2,4,0,2026-04-15,2
25794425,s_cmh2_6101,cmh2,107.6.171.229,2026-04-16 17:52:16,20500,8262,10250,8262,0,20500,10250,No error,,7,0,2026-04-13 22:03:00,16.0,8246,515.375,0.8060487804878049,1988,39914,8262,Low,17,3,1,0,2026-04-16,2
25810440,s_cmh2_6101,cmh2,107.6.171.229,2026-04-17 00:56:16,20500,0,10250,0,6412,20500,10250,Rate limit SPF,7318,8,0,2026-04-13 22:03:00,8262.0,-8262,-1.0,0.0,10250,39914,0,Low,0,4,1,1,2026-04-17,3
25631666,s_cmh2_6101,cmh2,107.6.171.230,2026-04-12 23:47:17,41100,41101,13700,13700,259700,41100,13700,No error,,1,1,2026-04-12 23:47:17,0.0,13700,0.0,1.0,0,13700,13700,Medium,23,6,1,0,2026-04-12,0
25667759,s_cmh2_6101,cmh2,107.6.171.230,2026-04-13 22:03:00,69500,46550,13900,13900,6412,69500,13900,No error,,2,0,2026-04-12 23:47:17,13700.0,200,0.014598540145985401,1.0,0,27600,13900,Medium,22,0,4,0,2026-04-13,0
25669478,s_cmh2_6101,cmh2,107.6.171.230,2026-04-13 22:39:17,45300,45306,15100,15102,75912,45300,15100,No error,,3,0,2026-04-12 23:47:17,13900.0,1202,0.0864748201438849,1.0001324503311257,-2,42702,29002,Medium,22,0,4,0,2026-04-13,0
25670750,s_cmh2_6101,cmh2,107.6.171.230,2026-04-13 23:14:17,45900,45901,15300,15300,121212,45900,15300,No error,,4,0,2026-04-12 23:47:17,15102.0,198,0.013110846245530394,1.0,0,58002,44302,Medium,23,0,4,0,2026-04-13,0
25672148,s_cmh2_6101,cmh2,107.6.171.230,2026-04-13 23:49:17,46500,46497,15500,15500,167112,46500,15500,Other,46497,5,0,2026-04-12 23:47:17,15300.0,200,0.013071895424836602,1.0,0,73502,59802,Medium,23,0,4,0,2026-04-13,1
25673186,s_cmh2_6101,cmh2,107.6.171.230,2026-04-14 00:24:17,47100,47101,15700,15700,213612,47100,15700,No error,,6,0,2026-04-12 23:47:17,15500.0,200,0.012903225806451613,1.0,0,89202,15700,Medium,0,1,9,0,2026-04-14,1
25674252,s_cmh2_6101,cmh2,107.6.171.230,2026-04-14 00:59:18,49500,0,16500,0,260712,49500,16500,No error,,7,0,2026-04-12 23:47:17,15700.0,-15700,-1.0,0.0,16500,89202,15700,Low,0,1,9,0,2026-04-14,1
25675321,s_cmh2_6101,cmh2,107.6.171.230,2026-04-14 01:34:17,55500,55497,18500,18500,310212,55500,18500,No error,,8,0,2026-04-12 23:47:17,0.0,18500,0.0,1.0,0,107702,34200,Medium,1,1,9,0,2026-04-14,1
25676269,s_cmh2_6101,cmh2,107.6.171.230,2026-04-14 02:09:17,7191,7195,2397,2398,365712,60000,20000,No error,,9,0,2026-04-12 23:47:17,18500.0,-16102,-0.8703783783783784,1.0004171881518564,-1,110100,36598,Low,2,1,9,0,2026-04-14,1
