ip,server,datetime_gride,campaign_id,sent_per_ip,r_sent_per_ip,limit_per_ip,offset,previous_sent_per_ip,volume_change,growth_rate,cumulative_sent_per_ip,daily_cumulative_sent_per_ip,daily_volume,volume_per_drop,sent_ratio,limit_usage_ratio,drops_per_day,time_gap_min,days_since_launch,hour,day_of_week,error_flag,spf_error,dkim_error,netblock_error,error_count_last_24h,blocked_before,is_high_growth,is_high_pressure,is_low_performance,risk_label,risk_label_encoded,predicted_risk_label_encoded,predicted_risk_label,spf_error_probability,predicted_spf_error,dkim_error_probability,predicted_dkim_error,netblock_error_probability,predicted_netblock_error,total_rows,active_days,max_volume,avg_sent_ratio,avg_growth_rate,max_netblock_probability,max_spf_probability,max_dkim_probability,risky_rows,dangerous_rows,recommended_initial_volume,recommended_growth_rate,recommended_drops_per_day,recommended_time_gap_min,recommended_max_safe_volume,final_decision,severity,main_reason,recommended_action,suggested_drops_per_day,suggested_growth_rate,suggested_time_gap_min,blocking_probability,xai_top_feature_1,xai_top_feature_1_contribution,xai_top_feature_2,xai_top_feature_2_contribution,xai_top_feature_3,xai_top_feature_3_contribution
194.54.185.172,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,0.92425,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,1,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.183,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.171,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,0,6301,186030,6301,0,0.0,43569,43569,43569,5446.12,0.0,1.0,8,24.97,0,4,6,1,0,0,0,0,0,0,1,1,Dangerous,2,2,Dangerous,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,0.507375,0.25254858924961326,0.0,0.0,3.9027530246532056e-08,7,4,5701,0.0,7,0,12,Reduce Volume,HIGH,The latest model prediction classifies this IP as Dangerous.,"Reduce daily volume immediately, stop growth, and keep the IP stable until risk decreases.",15,0.0,75.0,0.0,limit_usage_ratio,1.0,sent_ratio,1.0,dkim_error_probability,0.0
194.54.185.189,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.185,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.188,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.184,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,1,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.179,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.000125,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.180,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,0,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
194.54.185.181,s_cmh15_654,2026-04-12 04:27:10,25599235,6301,6301,6301,186030,6301,0,0.0,43568,43568,43568,5446.0,1.0,1.0,8,24.97,0,4,6,1,0,0,0,0,0,0,1,0,Risk,1,1,Risk,0.0,0,3.9027530246532056e-08,0,0.0,0,8,1,6301,1.0,0.2528036615512422,0.0,0.0,3.9027530246532056e-08,7,0,5701,0.0,8,0,0,Slow Down Growth,MEDIUM,The latest model prediction classifies this IP as Risk.,Decrease growth rate and increase time gap. Avoid aggressive warm-up.,8,0.0,60.0,0.0,limit_usage_ratio,1.0,dkim_error_probability,0.0,growth_rate,0.0
