ip,server,entity,datetime_gride,campaign_id,sent_per_ip,r_sent_per_ip,sent_ratio,lost_volume,lost_ratio,previous_r_sent_per_ip,volume_change,growth_rate,cumulative_r_sent_per_ip,daily_cumulative_r_sent_per_ip,real_daily_volume,real_volume_per_drop,drops_per_day,time_gap_min,days_since_launch,hour,day_of_week,error_flag,spf_error,dkim_error,netblock_error,error_count_last_24h,blocked_before,is_high_growth,is_low_performance,is_volume_loss,risk_label,risk_label_encoded,action_label,action_label_encoded,recommended_pause_hours
107.6.171.226,s_cmh2_6101,cmh2,2026-04-13 22:03:00,25667759,13900,0,0.0,13900,1.0,0.0,0,0.0,0,0,0,0.0,1,0.0,0,22,0,1,0,1,0,0,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-14 16:57:17,25700629,21000,482,0.023,20518,0.977,0.0,482,0.0,482,482,482,482.0,1,1134.28,0,16,1,0,0,0,0,1,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-15 00:58:43,25718931,3085,0,0.0,3085,1.0,482.0,-482,-1.0,482,0,2,0.4,5,481.43,1,0,2,0,0,0,0,0,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-15 00:58:43,25718931,3085,0,0.0,3085,1.0,0.0,0,0.0,482,0,2,0.4,5,0.0,1,0,2,0,0,0,0,0,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-15 01:32:17,25719931,16000,2,0.0,15998,1.0,0.0,2,0.0,484,2,2,0.4,5,33.57,1,1,2,1,0,1,0,0,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-15 23:17:16,25760298,10000,0,0.0,10000,1.0,2.0,-2,-1.0,484,2,2,0.4,5,1304.98,2,23,2,1,1,0,0,1,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-15 23:40:16,25761328,10000,0,0.0,10000,1.0,0.0,0,0.0,484,2,2,0.4,5,23.0,2,23,2,1,0,0,0,2,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-16 17:52:16,25794425,10250,0,0.0,10250,1.0,0.0,0,0.0,484,0,0,0.0,1,1092.0,2,17,3,0,0,0,0,2,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.226,s_cmh2_6101,cmh2,2026-04-17 00:56:16,25810440,10250,0,0.0,10250,1.0,0.0,0,0.0,484,0,0,0.0,1,424.0,3,0,4,1,0,0,0,0,0,0,1,1,Dangerous,2,STOP_24H,3,24
107.6.171.227,s_cmh2_6101,cmh2,2026-04-12 23:47:17,25631666,13700,13701,1.0,0,0.0,0.0,13701,0.0,13701,13701,13701,13701.0,1,0.0,0,23,6,0,0,0,0,0,0,0,0,0,Safe,0,CONTINUE,0,0
107.6.171.227,s_cmh2_6101,cmh2,2026-04-13 22:03:00,25667759,13900,13900,1.0,0,0.0,13701.0,199,0.0145244872637033,27601,13900,59803,14950.75,4,1335.72,0,22,0,0,0,0,0,0,0,0,0,0,Safe,0,CONTINUE,0,0
107.6.171.227,s_cmh2_6101,cmh2,2026-04-13 22:39:17,25669478,15100,15102,1.0,0,0.0,13900.0,1202,0.0864748201438849,42703,29002,59803,14950.75,4,36.28,0,22,0,0,0,0,0,0,0,0,0,0,Safe,0,CONTINUE,0,0
