datetime_drop,server,ip,limit,outSum,by_ip,totalIps,error_type_from_error
2026-04-16 14:34:01,s_cmh11_1341,135.125.140.36,230000,142935.0,23000,10,Other
2026-04-16 14:34:01,s_cmh11_1341,135.125.140.36,230000,142935.0,23000,10,Other
2026-04-16 14:34:01,s_cmh11_1341,135.125.140.51,230000,142935.0,23000,10,Other
2026-04-16 14:34:01,s_cmh11_1341,135.125.140.51,230000,142935.0,23000,10,Other
2026-04-16 15:14:01,s_cmh11_1341,135.125.140.51,240000,213833.0,24000,10,Other
2026-04-16 15:14:01,s_cmh11_1341,135.125.140.51,240000,213833.0,24000,10,Other
2026-04-16 15:54:01,s_cmh11_1341,135.125.140.51,250000,126457.0,25000,10,Other
2026-04-16 15:54:01,s_cmh11_1341,135.125.140.51,250000,126457.0,25000,10,Other
2026-04-13 18:19:01,s_cmh11_1341,135.125.140.52,90750,90832.0,8250,11,Other
2026-04-16 12:34:01,s_cmh11_1341,135.125.140.52,200000,185183.0,20000,10,Other
2026-04-16 16:34:01,s_cmh11_1341,135.125.140.52,260000,222715.0,26000,10,Server Busy
2026-04-16 16:34:01,s_cmh11_1341,135.125.140.52,260000,222715.0,26000,10,Server Busy
2026-04-16 18:34:01,s_cmh11_1341,135.125.140.52,290000,87610.0,29000,10,Other
2026-04-16 15:14:01,s_cmh11_1341,192.227.72.165,240000,213833.0,24000,10,Connection closed
2026-04-16 15:14:01,s_cmh11_1341,192.227.72.165,240000,213833.0,24000,10,Connection closed
2026-04-13 17:29:01,s_cmh11_1341,192.227.72.168,85250,85335.0,7750,11,Connection closed
2026-04-15 00:04:01,s_cmh11_1341,192.227.72.168,132500,122226.0,13250,10,Connection closed
2026-04-15 00:04:01,s_cmh11_1341,192.227.72.168,132500,122226.0,13250,10,Rate limit DKIM
2026-04-16 02:40:01,s_cmh11_1341,192.227.72.168,160000,77614.0,16000,10,Other
2026-04-16 15:14:01,s_cmh11_1341,192.227.72.168,240000,213833.0,24000,10,Connection closed
2026-04-16 15:14:01,s_cmh11_1341,192.227.72.168,240000,213833.0,24000,10,Other
2026-04-16 15:14:01,s_cmh11_1341,192.227.72.168,240000,213833.0,24000,10,Connection closed
2026-04-16 15:14:01,s_cmh11_1341,192.227.72.168,240000,213833.0,24000,10,Other
2026-04-16 14:34:01,s_cmh11_1341,217.182.198.9,230000,142935.0,23000,10,Other
2026-04-16 14:34:01,s_cmh11_1341,217.182.198.9,230000,142935.0,23000,10,Other
2026-04-16 16:34:01,s_cmh11_1341,217.182.198.9,260000,222715.0,26000,10,Server Busy
2026-04-16 16:34:01,s_cmh11_1341,217.182.198.9,260000,222715.0,26000,10,Server Busy
2026-04-16 14:34:01,s_cmh11_1341,51.254.12.38,230000,142935.0,23000,10,Other
2026-04-16 14:34:01,s_cmh11_1341,51.254.12.38,230000,142935.0,23000,10,Other
2026-04-17 22:06:01,s_cmh11_1341,51.254.12.39,285000,241064.0,28500,10,Other
2026-04-17 22:06:01,s_cmh11_1341,51.254.12.39,285000,241064.0,28500,10,Connection closed
2026-04-17 22:36:01,s_cmh11_1341,51.254.12.39,295000,265775.0,29500,10,Other
2026-04-17 22:36:01,s_cmh11_1341,51.254.12.39,295000,265775.0,29500,10,Connection closed
