ip,server,entity,first_used_at,first_sent_per_ip,first_r_sent_per_ip,first_error,first_limit,first_offset,first_launch_success
107.6.171.226,s_cmh2_6101,cmh2,2026-04-13 22:03:00,13900,0,Rate limit DKIM,13900,6412.0,0
107.6.171.227,s_cmh2_6101,cmh2,2026-04-12 23:47:17,13700,13701,No error,13700,259700.0,1
107.6.171.228,s_cmh2_6101,cmh2,2026-04-12 23:47:17,13700,13700,No error,13700,259700.0,1
107.6.171.229,s_cmh2_6101,cmh2,2026-04-13 22:03:00,13900,4850,Rate limit SPF,13900,6412.0,0
107.6.171.230,s_cmh2_6101,cmh2,2026-04-12 23:47:17,13700,13700,No error,13700,259700.0,1
135.125.140.36,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,4802,No error,15600,249200.0,1
135.125.140.51,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,4802,No error,15600,249200.0,1
135.125.140.52,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,4802,No error,15600,249200.0,1
138.226.244.74,s_cmh8_3617,cmh8,2026-04-12 01:14:10,3100,3102,No error,9300,44700.0,1
138.226.244.75,s_cmh8_3617,cmh8,2026-04-12 01:26:10,2830,3,No error,5660,60700.0,0
138.226.244.76,s_cmh8_3617,cmh8,2026-04-12 01:05:20,3900,3904,No error,11700,33000.0,1
138.226.244.77,s_cmh8_3617,cmh8,2026-04-12 01:20:11,3350,3352,No error,6700,54000.0,1
142.147.96.123,s_cmh8_3583,cmh8,2026-04-12 01:14:10,3100,3101,No error,9300,44700.0,1
142.147.96.124,s_cmh8_3583,cmh8,2026-04-13 15:55:18,3280,3284,No error,9840,50340.0,1
142.147.96.125,s_cmh8_3583,cmh8,2026-04-12 01:05:20,3900,3903,No error,11700,33000.0,1
142.147.96.126,s_cmh8_3583,cmh8,2026-04-13 13:44:32,12800,12801,No error,38400,291270.0,1
144.31.117.11,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,23939,No error,24000,5000.0,1
144.31.117.123,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,24000,No error,24000,5000.0,1
144.31.117.149,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,24000,No error,24000,5000.0,1
144.31.117.98,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,24000,No error,24000,5000.0,1
144.31.138.131,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,24000,No error,24000,5000.0,1
144.31.139.217,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,24000,No error,24000,5000.0,1
144.31.139.61,s_cmh9_5698,cmh9,2026-04-12 01:18:13,24000,24000,No error,24000,5000.0,1
144.31.84.7,s_cmh9_5698,cmh9,2026-04-12 14:35:16,24000,24000,No error,24000,168000.0,1
158.69.54.111,s_cmh2_6127,cmh2,2026-04-13 22:19:18,5100,5103,No error,5100,19312.0,1
173.236.32.74,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,6001,No error,6000,0.0,1
173.236.32.76,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,6001,No error,6000,0.0,1
173.236.32.77,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,6001,No error,6000,0.0,1
173.236.32.78,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,6000,Rate limit SPF,6000,0.0,0
192.227.72.165,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,4802,No error,31200,249200.0,1
192.227.72.167,s_cmh11_1341,cmh11,2026-04-16 00:41:51,20000,19992,No error,40000,120000.0,1
192.227.72.168,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,4801,No error,31200,249200.0,1
194.54.185.171,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5702,No error,5701,85515.0,1
194.54.185.172,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5702,No error,5701,85515.0,1
194.54.185.173,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.177,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.178,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.179,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.180,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.181,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.182,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.183,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.184,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.185,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.187,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.188,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
194.54.185.189,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,5701,No error,5701,85515.0,1
198.12.123.227,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12248,No error,12250,0.0,1
198.12.123.228,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.229,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.230,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.234,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.235,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.236,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.237,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.238,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.239,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.240,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.241,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,11794,No error,15500,255000.0,1
198.12.123.242,s_cmh6_5940,cmh6,2026-04-13 00:20:19,15000,15000,No error,15000,0.0,1
198.12.123.243,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,11794,No error,15500,255000.0,1
198.12.123.244,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.245,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.246,s_cmh6_5940,cmh6,2026-04-13 00:20:19,15000,15000,No error,15000,0.0,1
198.12.123.247,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.248,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.249,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,11794,No error,15500,255000.0,1
198.12.123.250,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
198.12.123.251,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,11794,No error,15500,255000.0,1
198.12.123.252,s_cmh6_5940,cmh6,2026-04-13 00:20:19,15000,15000,No error,15000,0.0,1
198.12.123.253,s_cmh6_5940,cmh6,2026-04-13 00:10:20,11794,11794,No error,15500,255000.0,1
198.12.123.254,s_cmh6_5940,cmh6,2026-04-12 01:03:21,12250,12250,No error,12250,0.0,1
217.182.198.9,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,4801,No error,15600,249200.0,1
23.19.114.9,s_cmh2_6121,cmh2,2026-04-12 23:47:18,3200,3203,No error,3200,12.0,1
23.231.25.47,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,0,Rate limit SPF,3000,360000.0,0
23.231.25.49,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,996,No error,3000,360000.0,1
