ip,forecast_date,forecast_daily_volume,forecast_sent_ratio,forecast_risk_label_encoded,forecast_cumulative_volume
107.6.171.226,2026-04-18,52338,0.005,2.0,52338
107.6.171.226,2026-04-19,51425,0.005,2.0,103763
107.6.171.226,2026-04-20,50512,0.005,2.0,154275
107.6.171.226,2026-04-21,49600,0.005,2.0,203875
107.6.171.226,2026-04-22,48688,0.005,2.0,252563
107.6.171.226,2026-04-23,47775,0.005,2.0,300338
107.6.171.226,2026-04-24,46862,0.005,2.0,347200
107.6.171.227,2026-04-17,1196945,0.294,1.694,1196945
107.6.171.227,2026-04-18,1206020,0.044,1.944,2402965
107.6.171.227,2026-04-19,1215095,0.0,2.0,3618060
107.6.171.227,2026-04-20,1224170,0.0,2.0,4842230
107.6.171.227,2026-04-21,1233245,0.0,2.0,6075475
107.6.171.227,2026-04-22,1242320,0.0,2.0,7317795
107.6.171.227,2026-04-23,1251395,0.0,2.0,8569190
107.6.171.228,2026-04-17,1196942,0.349,1.641,1196942
107.6.171.228,2026-04-18,1206017,0.099,1.891,2402959
107.6.171.228,2026-04-19,1215092,0.0,2.0,3618051
107.6.171.228,2026-04-20,1224167,0.0,2.0,4842218
107.6.171.228,2026-04-21,1233242,0.0,2.0,6075460
107.6.171.228,2026-04-22,1242317,0.0,2.0,7317777
107.6.171.228,2026-04-23,1251392,0.0,2.0,8569169
107.6.171.229,2026-04-18,31104,0.373,1.55,31104
107.6.171.229,2026-04-19,30191,0.286,1.55,61295
107.6.171.229,2026-04-20,29278,0.199,1.55,90573
107.6.171.229,2026-04-21,28366,0.112,1.55,118939
107.6.171.229,2026-04-22,27454,0.024,1.55,146393
107.6.171.229,2026-04-23,26541,0.0,1.55,172934
107.6.171.229,2026-04-24,25628,0.0,1.55,198562
107.6.171.230,2026-04-17,1196933,0.562,1.486,1196933
107.6.171.230,2026-04-18,1206008,0.358,1.736,2402941
107.6.171.230,2026-04-19,1215083,0.154,1.986,3618024
107.6.171.230,2026-04-20,1224158,0.0,2.0,4842182
107.6.171.230,2026-04-21,1233233,0.0,2.0,6075415
107.6.171.230,2026-04-22,1242308,0.0,2.0,7317723
107.6.171.230,2026-04-23,1251383,0.0,2.0,8569106
135.125.140.36,2026-04-17,669618,0.996,0.268,669618
135.125.140.36,2026-04-18,734053,0.996,0.352,1403671
135.125.140.36,2026-04-19,798489,0.996,0.435,2202160
135.125.140.36,2026-04-20,862924,0.996,0.518,3065084
135.125.140.36,2026-04-21,927360,0.996,0.602,3992444
135.125.140.36,2026-04-22,991795,0.996,0.685,4984239
135.125.140.36,2026-04-23,1056231,0.996,0.768,6040470
135.125.140.51,2026-04-17,669618,1.0,0.268,669618
135.125.140.51,2026-04-18,734053,1.0,0.352,1403671
135.125.140.51,2026-04-19,798489,1.0,0.435,2202160
135.125.140.51,2026-04-20,862924,1.0,0.518,3065084
135.125.140.51,2026-04-21,927360,1.0,0.602,3992444
135.125.140.51,2026-04-22,991795,1.0,0.685,4984239
135.125.140.51,2026-04-23,1056231,1.0,0.768,6040470
135.125.140.52,2026-04-17,902218,1.0,0.287,902218
135.125.140.52,2026-04-18,1095876,1.0,0.381,1998094
135.125.140.52,2026-04-19,1289534,1.0,0.474,3287628
135.125.140.52,2026-04-20,1483192,1.0,0.568,4770820
135.125.140.52,2026-04-21,1676850,1.0,0.662,6447670
135.125.140.52,2026-04-22,1870508,1.0,0.756,8318178
135.125.140.52,2026-04-23,2064166,1.0,0.849,10382344
138.226.244.74,2026-04-18,482302,0.795,0.56,482302
138.226.244.74,2026-04-19,401256,0.725,0.667,883558
138.226.244.74,2026-04-20,320211,0.656,0.775,1203769
138.226.244.74,2026-04-21,239166,0.586,0.883,1442935
138.226.244.74,2026-04-22,158120,0.516,0.99,1601055
138.226.244.74,2026-04-23,77075,0.446,1.098,1678130
138.226.244.74,2026-04-24,0,0.377,1.206,1678130
138.226.244.75,2026-04-18,301693,0.815,0.504,301693
138.226.244.75,2026-04-19,305369,1.015,0.104,607062
138.226.244.75,2026-04-20,309045,1.215,0.0,916107
138.226.244.75,2026-04-21,312721,1.414,0.0,1228828
138.226.244.75,2026-04-22,316397,1.5,0.0,1545225
138.226.244.75,2026-04-23,320073,1.5,0.0,1865298
138.226.244.75,2026-04-24,323749,1.5,0.0,2189047
138.226.244.76,2026-04-18,1070197,0.992,0.088,1070197
138.226.244.76,2026-04-19,1056697,0.992,0.008,2126894
138.226.244.76,2026-04-20,1043197,0.992,0.0,3170091
138.226.244.76,2026-04-21,1029697,0.992,0.0,4199788
138.226.244.76,2026-04-22,1016197,0.992,0.0,5215985
138.226.244.76,2026-04-23,1002697,0.992,0.0,6218682
138.226.244.76,2026-04-24,989197,0.992,0.0,7207879
138.226.244.77,2026-04-18,237776,0.84,0.876,237776
138.226.244.77,2026-04-19,236244,0.888,0.976,474020
138.226.244.77,2026-04-20,234712,0.937,1.076,708732
138.226.244.77,2026-04-21,233180,0.986,1.176,941912
138.226.244.77,2026-04-22,231648,1.035,1.276,1173560
138.226.244.77,2026-04-23,230116,1.083,1.376,1403676
138.226.244.77,2026-04-24,228584,1.132,1.476,1632260
142.147.96.123,2026-04-18,395772,0.763,0.818,395772
142.147.96.123,2026-04-19,354820,0.7,1.018,750592
142.147.96.123,2026-04-20,313868,0.637,1.218,1064460
142.147.96.123,2026-04-21,272916,0.573,1.418,1337376
142.147.96.123,2026-04-22,231964,0.51,1.618,1569340
142.147.96.123,2026-04-23,191012,0.447,1.818,1760352
142.147.96.123,2026-04-24,150060,0.383,2.0,1910412
142.147.96.124,2026-04-17,265179,0.686,1.417,265179
142.147.96.124,2026-04-18,359709,0.687,1.75,624888
142.147.96.124,2026-04-19,454240,0.688,2.0,1079128
142.147.96.124,2026-04-20,548771,0.689,2.0,1627899
142.147.96.124,2026-04-21,643301,0.69,2.0,2271200
142.147.96.124,2026-04-22,737832,0.691,2.0,3009032
142.147.96.124,2026-04-23,832363,0.692,2.0,3841395
142.147.96.125,2026-04-18,1059988,0.998,0.238,1059988
142.147.96.125,2026-04-19,990048,1.014,0.158,2050036
142.147.96.125,2026-04-20,920108,1.029,0.078,2970144
142.147.96.125,2026-04-21,850168,1.045,0.0,3820312
142.147.96.125,2026-04-22,780228,1.061,0.0,4600540
142.147.96.125,2026-04-23,710288,1.077,0.0,5310828
142.147.96.125,2026-04-24,640348,1.092,0.0,5951176
142.147.96.126,2026-04-18,308373,0.847,0.951,308373
142.147.96.126,2026-04-19,152798,0.852,0.996,461171
142.147.96.126,2026-04-20,0,0.856,1.042,461171
142.147.96.126,2026-04-21,0,0.861,1.087,461171
142.147.96.126,2026-04-22,0,0.865,1.133,461171
142.147.96.126,2026-04-23,0,0.87,1.178,461171
142.147.96.126,2026-04-24,0,0.874,1.224,461171
144.31.117.11,2026-04-13,3411395,0.926,0.846,3411395
144.31.117.11,2026-04-14,3411395,0.926,0.846,6822790
144.31.117.11,2026-04-15,3411395,0.926,0.846,10234185
144.31.117.11,2026-04-16,3411395,0.926,0.846,13645580
144.31.117.11,2026-04-17,3411395,0.926,0.846,17056975
144.31.117.11,2026-04-18,3411395,0.926,0.846,20468370
144.31.117.11,2026-04-19,3411395,0.926,0.846,23879765
144.31.117.123,2026-04-13,3411369,1.0,0.846,3411369
144.31.117.123,2026-04-14,3411369,1.0,0.846,6822738
144.31.117.123,2026-04-15,3411369,1.0,0.846,10234107
144.31.117.123,2026-04-16,3411369,1.0,0.846,13645476
144.31.117.123,2026-04-17,3411369,1.0,0.846,17056845
144.31.117.123,2026-04-18,3411369,1.0,0.846,20468214
144.31.117.123,2026-04-19,3411369,1.0,0.846,23879583
144.31.117.149,2026-04-13,3411369,1.0,0.846,3411369
144.31.117.149,2026-04-14,3411369,1.0,0.846,6822738
144.31.117.149,2026-04-15,3411369,1.0,0.846,10234107
144.31.117.149,2026-04-16,3411369,1.0,0.846,13645476
144.31.117.149,2026-04-17,3411369,1.0,0.846,17056845
144.31.117.149,2026-04-18,3411369,1.0,0.846,20468214
144.31.117.149,2026-04-19,3411369,1.0,0.846,23879583
144.31.117.98,2026-04-13,3411395,1.0,0.769,3411395
144.31.117.98,2026-04-14,3411395,1.0,0.769,6822790
144.31.117.98,2026-04-15,3411395,1.0,0.769,10234185
144.31.117.98,2026-04-16,3411395,1.0,0.769,13645580
144.31.117.98,2026-04-17,3411395,1.0,0.769,17056975
144.31.117.98,2026-04-18,3411395,1.0,0.769,20468370
144.31.117.98,2026-04-19,3411395,1.0,0.769,23879765
144.31.138.131,2026-04-13,3411369,1.0,0.846,3411369
144.31.138.131,2026-04-14,3411369,1.0,0.846,6822738
144.31.138.131,2026-04-15,3411369,1.0,0.846,10234107
144.31.138.131,2026-04-16,3411369,1.0,0.846,13645476
144.31.138.131,2026-04-17,3411369,1.0,0.846,17056845
144.31.138.131,2026-04-18,3411369,1.0,0.846,20468214
144.31.138.131,2026-04-19,3411369,1.0,0.846,23879583
144.31.139.217,2026-04-13,3411369,1.0,0.769,3411369
144.31.139.217,2026-04-14,3411369,1.0,0.769,6822738
144.31.139.217,2026-04-15,3411369,1.0,0.769,10234107
144.31.139.217,2026-04-16,3411369,1.0,0.769,13645476
144.31.139.217,2026-04-17,3411369,1.0,0.769,17056845
144.31.139.217,2026-04-18,3411369,1.0,0.769,20468214
144.31.139.217,2026-04-19,3411369,1.0,0.769,23879583
144.31.139.61,2026-04-13,3411369,1.0,0.769,3411369
144.31.139.61,2026-04-14,3411369,1.0,0.769,6822738
144.31.139.61,2026-04-15,3411369,1.0,0.769,10234107
144.31.139.61,2026-04-16,3411369,1.0,0.769,13645476
144.31.139.61,2026-04-17,3411369,1.0,0.769,17056845
144.31.139.61,2026-04-18,3411369,1.0,0.769,20468214
144.31.139.61,2026-04-19,3411369,1.0,0.769,23879583
144.31.84.7,2026-04-13,216000,1.0,1.0,216000
144.31.84.7,2026-04-14,216000,1.0,1.0,432000
144.31.84.7,2026-04-15,216000,1.0,1.0,648000
144.31.84.7,2026-04-16,216000,1.0,1.0,864000
144.31.84.7,2026-04-17,216000,1.0,1.0,1080000
144.31.84.7,2026-04-18,216000,1.0,1.0,1296000
144.31.84.7,2026-04-19,216000,1.0,1.0,1512000
158.69.54.111,2026-04-17,349651,0.857,1.177,349651
158.69.54.111,2026-04-18,382851,0.815,1.26,732502
158.69.54.111,2026-04-19,416051,0.773,1.344,1148553
158.69.54.111,2026-04-20,449251,0.732,1.427,1597804
158.69.54.111,2026-04-21,482451,0.69,1.51,2080255
158.69.54.111,2026-04-22,515651,0.648,1.594,2595906
158.69.54.111,2026-04-23,548851,0.606,1.677,3144757
173.236.32.74,2026-04-17,0,1.0,0.5,0
173.236.32.74,2026-04-18,0,1.0,0.167,0
173.236.32.74,2026-04-19,0,1.0,0.0,0
173.236.32.74,2026-04-20,0,1.0,0.0,0
173.236.32.74,2026-04-21,0,1.0,0.0,0
173.236.32.74,2026-04-22,0,0.999,0.0,0
173.236.32.74,2026-04-23,0,0.999,0.0,0
173.236.32.76,2026-04-17,0,1.001,0.5,0
173.236.32.76,2026-04-18,0,1.002,0.167,0
173.236.32.76,2026-04-19,0,1.002,0.0,0
173.236.32.76,2026-04-20,0,1.003,0.0,0
173.236.32.76,2026-04-21,0,1.004,0.0,0
173.236.32.76,2026-04-22,0,1.004,0.0,0
173.236.32.76,2026-04-23,0,1.005,0.0,0
173.236.32.77,2026-04-17,0,1.001,0.5,0
173.236.32.77,2026-04-18,0,1.002,0.167,0
173.236.32.77,2026-04-19,0,1.002,0.0,0
173.236.32.77,2026-04-20,0,1.003,0.0,0
173.236.32.77,2026-04-21,0,1.004,0.0,0
173.236.32.77,2026-04-22,0,1.004,0.0,0
173.236.32.77,2026-04-23,0,1.005,0.0,0
173.236.32.78,2026-04-17,0,1.0,1.0,0
173.236.32.78,2026-04-18,0,1.0,1.0,0
173.236.32.78,2026-04-19,0,1.0,1.0,0
173.236.32.78,2026-04-20,0,1.0,1.0,0
173.236.32.78,2026-04-21,0,1.0,1.0,0
173.236.32.78,2026-04-22,0,1.0,1.0,0
173.236.32.78,2026-04-23,0,1.0,1.0,0
192.227.72.165,2026-04-17,669512,0.995,0.268,669512
192.227.72.165,2026-04-18,733947,0.993,0.352,1403459
192.227.72.165,2026-04-19,798383,0.99,0.435,2201842
192.227.72.165,2026-04-20,862818,0.988,0.518,3064660
192.227.72.165,2026-04-21,927254,0.986,0.602,3991914
192.227.72.165,2026-04-22,991689,0.984,0.685,4983603
192.227.72.165,2026-04-23,1056125,0.981,0.768,6039728
192.227.72.167,2026-04-17,20000,1.0,0.0,20000
192.227.72.167,2026-04-18,20000,1.0,0.0,40000
192.227.72.167,2026-04-19,20000,1.0,0.0,60000
192.227.72.167,2026-04-20,20000,1.0,0.0,80000
192.227.72.167,2026-04-21,20000,1.0,0.0,100000
192.227.72.167,2026-04-22,20000,1.0,0.0,120000
192.227.72.167,2026-04-23,20000,1.0,0.0,140000
192.227.72.168,2026-04-17,643112,0.985,0.268,643112
192.227.72.168,2026-04-18,707547,0.985,0.352,1350659
192.227.72.168,2026-04-19,771983,0.985,0.435,2122642
192.227.72.168,2026-04-20,836418,0.985,0.518,2959060
192.227.72.168,2026-04-21,900854,0.985,0.602,3859914
192.227.72.168,2026-04-22,965289,0.985,0.685,4825203
192.227.72.168,2026-04-23,1029725,0.985,0.768,5854928
194.54.185.171,2026-04-13,348552,0.507,1.375,348552
194.54.185.171,2026-04-14,348552,0.507,1.375,697104
194.54.185.171,2026-04-15,348552,0.507,1.375,1045656
194.54.185.171,2026-04-16,348552,0.507,1.375,1394208
194.54.185.171,2026-04-17,348552,0.507,1.375,1742760
194.54.185.171,2026-04-18,348552,0.507,1.375,2091312
194.54.185.171,2026-04-19,348552,0.507,1.375,2439864
194.54.185.172,2026-04-13,348544,0.924,1.0,348544
194.54.185.172,2026-04-14,348544,0.924,1.0,697088
194.54.185.172,2026-04-15,348544,0.924,1.0,1045632
194.54.185.172,2026-04-16,348544,0.924,1.0,1394176
194.54.185.172,2026-04-17,348544,0.924,1.0,1742720
194.54.185.172,2026-04-18,348544,0.924,1.0,2091264
194.54.185.172,2026-04-19,348544,0.924,1.0,2439808
194.54.185.173,2026-04-13,348544,1.0,0.875,348544
194.54.185.173,2026-04-14,348544,1.0,0.875,697088
194.54.185.173,2026-04-15,348544,1.0,0.875,1045632
194.54.185.173,2026-04-16,348544,1.0,0.875,1394176
194.54.185.173,2026-04-17,348544,1.0,0.875,1742720
194.54.185.173,2026-04-18,348544,1.0,0.875,2091264
194.54.185.173,2026-04-19,348544,1.0,0.875,2439808
194.54.185.177,2026-04-13,348544,0.792,1.125,348544
194.54.185.177,2026-04-14,348544,0.792,1.125,697088
194.54.185.177,2026-04-15,348544,0.792,1.125,1045632
194.54.185.177,2026-04-16,348544,0.792,1.125,1394176
194.54.185.177,2026-04-17,348544,0.792,1.125,1742720
194.54.185.177,2026-04-18,348544,0.792,1.125,2091264
194.54.185.177,2026-04-19,348544,0.792,1.125,2439808
194.54.185.178,2026-04-13,348544,1.0,0.875,348544
194.54.185.178,2026-04-14,348544,1.0,0.875,697088
194.54.185.178,2026-04-15,348544,1.0,0.875,1045632
194.54.185.178,2026-04-16,348544,1.0,0.875,1394176
194.54.185.178,2026-04-17,348544,1.0,0.875,1742720
194.54.185.178,2026-04-18,348544,1.0,0.875,2091264
194.54.185.178,2026-04-19,348544,1.0,0.875,2439808
194.54.185.179,2026-04-13,348544,1.0,0.875,348544
194.54.185.179,2026-04-14,348544,1.0,0.875,697088
194.54.185.179,2026-04-15,348544,1.0,0.875,1045632
194.54.185.179,2026-04-16,348544,1.0,0.875,1394176
194.54.185.179,2026-04-17,348544,1.0,0.875,1742720
194.54.185.179,2026-04-18,348544,1.0,0.875,2091264
194.54.185.179,2026-04-19,348544,1.0,0.875,2439808
194.54.185.180,2026-04-13,348544,1.0,0.875,348544
194.54.185.180,2026-04-14,348544,1.0,0.875,697088
194.54.185.180,2026-04-15,348544,1.0,0.875,1045632
194.54.185.180,2026-04-16,348544,1.0,0.875,1394176
194.54.185.180,2026-04-17,348544,1.0,0.875,1742720
194.54.185.180,2026-04-18,348544,1.0,0.875,2091264
194.54.185.180,2026-04-19,348544,1.0,0.875,2439808
194.54.185.181,2026-04-13,348544,1.0,0.875,348544
194.54.185.181,2026-04-14,348544,1.0,0.875,697088
194.54.185.181,2026-04-15,348544,1.0,0.875,1045632
194.54.185.181,2026-04-16,348544,1.0,0.875,1394176
194.54.185.181,2026-04-17,348544,1.0,0.875,1742720
194.54.185.181,2026-04-18,348544,1.0,0.875,2091264
194.54.185.181,2026-04-19,348544,1.0,0.875,2439808
194.54.185.182,2026-04-13,348544,1.0,0.875,348544
194.54.185.182,2026-04-14,348544,1.0,0.875,697088
194.54.185.182,2026-04-15,348544,1.0,0.875,1045632
194.54.185.182,2026-04-16,348544,1.0,0.875,1394176
194.54.185.182,2026-04-17,348544,1.0,0.875,1742720
194.54.185.182,2026-04-18,348544,1.0,0.875,2091264
194.54.185.182,2026-04-19,348544,1.0,0.875,2439808
194.54.185.183,2026-04-13,348544,1.0,0.875,348544
194.54.185.183,2026-04-14,348544,1.0,0.875,697088
194.54.185.183,2026-04-15,348544,1.0,0.875,1045632
194.54.185.183,2026-04-16,348544,1.0,0.875,1394176
194.54.185.183,2026-04-17,348544,1.0,0.875,1742720
194.54.185.183,2026-04-18,348544,1.0,0.875,2091264
194.54.185.183,2026-04-19,348544,1.0,0.875,2439808
194.54.185.184,2026-04-13,348544,1.0,0.875,348544
194.54.185.184,2026-04-14,348544,1.0,0.875,697088
194.54.185.184,2026-04-15,348544,1.0,0.875,1045632
194.54.185.184,2026-04-16,348544,1.0,0.875,1394176
194.54.185.184,2026-04-17,348544,1.0,0.875,1742720
194.54.185.184,2026-04-18,348544,1.0,0.875,2091264
194.54.185.184,2026-04-19,348544,1.0,0.875,2439808
194.54.185.185,2026-04-13,348544,1.0,0.875,348544
194.54.185.185,2026-04-14,348544,1.0,0.875,697088
194.54.185.185,2026-04-15,348544,1.0,0.875,1045632
194.54.185.185,2026-04-16,348544,1.0,0.875,1394176
194.54.185.185,2026-04-17,348544,1.0,0.875,1742720
194.54.185.185,2026-04-18,348544,1.0,0.875,2091264
194.54.185.185,2026-04-19,348544,1.0,0.875,2439808
194.54.185.187,2026-04-13,348544,1.0,0.875,348544
194.54.185.187,2026-04-14,348544,1.0,0.875,697088
194.54.185.187,2026-04-15,348544,1.0,0.875,1045632
194.54.185.187,2026-04-16,348544,1.0,0.875,1394176
194.54.185.187,2026-04-17,348544,1.0,0.875,1742720
194.54.185.187,2026-04-18,348544,1.0,0.875,2091264
194.54.185.187,2026-04-19,348544,1.0,0.875,2439808
194.54.185.188,2026-04-13,348544,1.0,0.875,348544
194.54.185.188,2026-04-14,348544,1.0,0.875,697088
194.54.185.188,2026-04-15,348544,1.0,0.875,1045632
194.54.185.188,2026-04-16,348544,1.0,0.875,1394176
194.54.185.188,2026-04-17,348544,1.0,0.875,1742720
194.54.185.188,2026-04-18,348544,1.0,0.875,2091264
194.54.185.188,2026-04-19,348544,1.0,0.875,2439808
194.54.185.189,2026-04-13,348544,1.0,0.875,348544
194.54.185.189,2026-04-14,348544,1.0,0.875,697088
194.54.185.189,2026-04-15,348544,1.0,0.875,1045632
194.54.185.189,2026-04-16,348544,1.0,0.875,1394176
194.54.185.189,2026-04-17,348544,1.0,0.875,1742720
194.54.185.189,2026-04-18,348544,1.0,0.875,2091264
194.54.185.189,2026-04-19,348544,1.0,0.875,2439808
198.12.123.227,2026-04-14,4917722,0.0,1.9,4917722
198.12.123.227,2026-04-15,7798178,0.0,2.0,12715900
198.12.123.227,2026-04-16,10678632,0.0,2.0,23394532
198.12.123.227,2026-04-17,13559088,0.0,2.0,36953620
198.12.123.227,2026-04-18,16439542,0.0,2.0,53393162
198.12.123.227,2026-04-19,19319998,0.0,2.0,72713160
198.12.123.227,2026-04-20,22200452,0.0,2.0,94913612
198.12.123.228,2026-04-13,597040,0.7,1.2,597040
198.12.123.228,2026-04-14,597040,0.7,1.2,1194080
198.12.123.228,2026-04-15,597040,0.7,1.2,1791120
198.12.123.228,2026-04-16,597040,0.7,1.2,2388160
198.12.123.228,2026-04-17,597040,0.7,1.2,2985200
198.12.123.228,2026-04-18,597040,0.7,1.2,3582240
198.12.123.228,2026-04-19,597040,0.7,1.2,4179280
198.12.123.229,2026-04-13,597030,0.72,1.2,597030
198.12.123.229,2026-04-14,597030,0.72,1.2,1194060
198.12.123.229,2026-04-15,597030,0.72,1.2,1791090
198.12.123.229,2026-04-16,597030,0.72,1.2,2388120
198.12.123.229,2026-04-17,597030,0.72,1.2,2985150
198.12.123.229,2026-04-18,597030,0.72,1.2,3582180
198.12.123.229,2026-04-19,597030,0.72,1.2,4179210
198.12.123.230,2026-04-13,597030,0.862,1.0,597030
198.12.123.230,2026-04-14,597030,0.862,1.0,1194060
198.12.123.230,2026-04-15,597030,0.862,1.0,1791090
198.12.123.230,2026-04-16,597030,0.862,1.0,2388120
198.12.123.230,2026-04-17,597030,0.862,1.0,2985150
198.12.123.230,2026-04-18,597030,0.862,1.0,3582180
198.12.123.230,2026-04-19,597030,0.862,1.0,4179210
198.12.123.234,2026-04-13,597030,0.9,1.0,597030
198.12.123.234,2026-04-14,597030,0.9,1.0,1194060
198.12.123.234,2026-04-15,597030,0.9,1.0,1791090
198.12.123.234,2026-04-16,597030,0.9,1.0,2388120
198.12.123.234,2026-04-17,597030,0.9,1.0,2985150
198.12.123.234,2026-04-18,597030,0.9,1.0,3582180
