campaign_id,datetime_gride,sent_gride,r_sent_gride,servers_list,nb_servers
,2026-04-10 01:05:50,,,[],0
25594757.0,2026-04-12 01:03:21,208250.0,208248.0,['s_cmh6_5940'],1
25594853.0,2026-04-12 01:04:22,62400.0,62420.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25594913.0,2026-04-12 01:05:20,11700.0,11711.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25595182.0,2026-04-12 01:14:10,9300.0,9304.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25595271.0,2026-04-12 01:18:13,168000.0,167939.0,['s_cmh9_5698'],1
25595300.0,2026-04-12 01:20:11,6700.0,6704.0,"['s_cmh8_3617', 's_cmh8_3656']",2
25595404.0,2026-04-12 01:26:10,5660.0,2837.0,"['s_cmh8_3617', 's_cmh8_3656']",2
25595491.0,2026-04-12 01:30:56,61376.0,61399.0,"['s_cmh11_1341', 's_cmh11_1343', 's_cmh11_1372', 's_cmh11_1388']",4
25595495.0,2026-04-12 01:31:08,85515.0,85517.0,['s_cmh15_654'],1
25595506.0,2026-04-12 01:31:37,3900.0,0.0,['s_cmh8_3656'],1
25595836.0,2026-04-12 01:38:09,12000.0,12012.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25595838.0,2026-04-12 01:38:13,164726.0,164723.0,['s_cmh6_5940'],1
25595907.0,2026-04-12 01:44:10,9360.0,9365.0,"['s_cmh8_3583', 's_cmh8_3617', 's_cmh8_3656']",3
25596013.0,2026-04-12 01:50:09,6800.0,6804.0,"['s_cmh8_3617', 's_cmh8_3656']",2
25596058.0,2026-04-12 01:53:10,168000.0,167997.0,['s_cmh9_5698'],1
25596089.0,2026-04-12 01:56:09,2880.0,1321.0,['s_cmh8_3656'],1
25596099.0,2026-04-12 01:57:12,85515.0,83812.0,['s_cmh15_654'],1
