ip,server,entity,first_used_at,first_sent_per_ip,first_error,first_limit,first_offset,first_launch_success,safe_duration_days,first_error_day,first_netblock_day,maximum_safe_volume,average_safe_growth_rate,average_time_gap_min,avg_growth_rate,avg_time_gap_min,avg_limit_usage_ratio,avg_sent_ratio,avg_drops_per_day,max_daily_volume,target_initial_volume,target_growth_rate,target_max_safe_volume,target_time_gap_min,target_drops_per_day
135.125.140.36,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.46725773677658466,170.19875,0.328625,0.9974999999999999,8.65,100834,4800,-0.0077410818049331,77634,178.21,8.65
135.125.140.51,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.46725773677658466,170.19875,0.328625,1.0001250000000002,8.65,100834,4800,-0.0077410818049331,77634,178.21,8.65
135.125.140.52,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.4507097493110331,162.09380952380954,0.3367857142857143,1.0000952380952381,8.904761904761905,138445,4800,-0.0077410818049331,77634,178.21,8.904761904761905
138.226.244.75,s_cmh8_3617,cmh8,2026-04-12 01:26:10,2830,No error,5660,60700.0,1,0.0,2026-04-12 01:26:10,,0,0.0,0.0,0.06984572601360574,183.5923076923077,0.47525641025641024,0.7235128205128205,8.58974358974359,64710,2830,0.0,0,0.0,8.58974358974359
138.226.244.76,s_cmh8_3617,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.0644560185185185,2026-04-12 02:38:09,,20500,0.0168803418803418,20.94666666666667,0.08726009222568942,106.96925373134329,0.46738805970149255,0.9754029850746267,20.34328358208955,147875,3900,0.0168803418803418,20500,20.94666666666667,20.34328358208955
173.236.32.74,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0,-0.06107928406875776,187.88,0.9072222222222222,1.0004444444444445,5.0,31500,6000,0.0,0,0.0,5.0
173.236.32.76,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0,-0.06107928406875776,187.88,0.9072222222222222,1.0002222222222223,5.0,31500,6000,0.0,0,0.0,5.0
173.236.32.77,s_cmh6_6009,cmh6,2026-04-15 12:44:24,6000,No error,6000,0.0,1,0.0,2026-04-15 12:44:24,,0,0.0,0.0,-0.06109409888357257,187.88,0.9072222222222222,1.0002222222222223,5.0,31500,6000,0.0,0,0.0,5.0
192.227.72.165,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.4688181803041468,170.19875,0.15875,0.998,8.65,100781,4800,-0.0077410818049331,77634,178.21,8.65
192.227.72.168,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.47909361581171367,179.15657894736842,0.16126315789473686,0.9797105263157895,8.68421052631579,100781,4800,-0.0077410818049331,77634,178.21,8.68421052631579
194.54.185.171,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.25254858924961326,22.00625,0.909,0.507375,8.0,43569,5701,0.0,0,0.0,8.0
194.54.185.172,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,0.92425,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.173,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.000125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.177,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,0.792125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.178,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.000125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.179,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.000125,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.180,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.181,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.182,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.183,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.184,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.185,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.187,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.188,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
194.54.185.189,s_cmh15_654,cmh15,2026-04-12 01:31:08,5701,No error,5701,85515.0,1,0.0,2026-04-12 01:31:08,,0,0.0,0.0,0.2528036615512422,22.00625,0.909,1.0,8.0,43568,5701,0.0,0,0.0,8.0
217.182.198.9,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.0077410818049331,178.21,0.46725773677658466,170.19875,0.328625,1.000075,8.65,100834,4800,-0.0077410818049331,77634,178.21,8.65
23.231.25.49,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1890528731362053,160.09166666666667,0.40458333333333335,1.0000833333333332,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.51,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1890528731362053,160.09166666666667,0.40458333333333335,1.0000833333333332,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.52,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898865807527648,160.09166666666667,0.40458333333333335,1.000125,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.53,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898880374076557,160.09166666666667,0.40454166666666663,1.000125,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.54,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898880374076557,160.09166666666667,0.40454166666666663,1.000125,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
23.231.25.55,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.0208333333333333,2026-04-12 20:16:19,,3996,0.0,0.0,1.1898846975966326,160.09166666666667,0.40454166666666663,0.9992083333333334,7.333333333333333,59655,996,0.0,3996,0.0,7.333333333333333
