ip,server,entity,first_used_at,first_sent_per_ip,first_error,first_limit,first_offset,first_launch_success,safe_duration_days,first_error_day,first_netblock_day,maximum_safe_volume,average_safe_growth_rate,average_time_gap_min
135.125.140.36,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
135.125.140.51,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
135.125.140.52,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
138.226.244.74,s_cmh8_3617,cmh8,2026-04-12 01:14:10,3100,No error,9300,44700.0,1,0.08332175925925926,2026-04-12 03:14:09,,33479,-0.12222969015407373,18.796
138.226.244.76,s_cmh8_3617,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.06445601851851852,2026-04-12 02:38:09,,20500,0.016880341880341865,20.94666666666667
138.226.244.77,s_cmh8_3617,cmh8,2026-04-12 01:20:11,3350,No error,6700,54000.0,1,0.043738425925925924,2026-04-12 02:23:10,,11665,0.009877085162423133,19.996666666666666
142.147.96.123,s_cmh8_3583,cmh8,2026-04-12 01:14:10,3100,No error,9300,44700.0,1,0.08332175925925926,2026-04-12 03:14:09,,23476,-0.12235627243255473,18.796
142.147.96.124,s_cmh8_3583,cmh8,2026-04-13 15:55:18,3280,No error,9840,50340.0,1,0.4291550925925926,2026-04-14 02:13:17,,13420,0.011262954215580824,26.997500000000002
142.147.96.125,s_cmh8_3583,cmh8,2026-04-12 01:05:20,3900,No error,11700,33000.0,1,0.04363425925925926,2026-04-12 02:08:10,,38470,0.0128205128205128,16.41
192.227.72.165,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
192.227.72.168,s_cmh11_1341,cmh11,2026-04-12 01:04:22,4800,No error,31200,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
217.182.198.9,s_cmh11_1372,cmh11,2026-04-12 01:04:22,4800,No error,15600,249200.0,1,1.7499421296296296,2026-04-13 19:04:17,,77634,-0.007741081804933159,178.21
23.231.25.49,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.51,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.52,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
23.231.25.53,s_cmh9_5689,cmh9,2026-04-12 19:46:19,996,No error,3000,360000.0,1,0.020833333333333332,2026-04-12 20:16:19,,3996,0.0,0.0
