plan_type,day,daily_volume,estimated_r_sent,cumulative_volume,remaining_to_target,drop_5,drop_10,drop_15,drop_20,recommended_drops_per_day,drops_per_day,volume_per_drop,growth_rate,limit_usage_ratio,estimated_sent_ratio,estimated_error_probability,risk_zone,decision,target_reached,spf_probability,dkim_probability,netblock_probability,selected_ip
Adaptive AI,1,9218,8296,9218,990782,1843.6,921.8,614.53,460.9,5,5,1843.6,0.0,0.0922,0.9,0.02,Safe,Continue safe progressive warm-up.,False,0.008,0.0078,0.0125,
Adaptive AI,2,11185,10066,20403,979597,2237.0,1118.5,745.67,559.25,10,10,1118.5,0.2134,0.1119,0.9,0.0733,Safe,Continue safe progressive warm-up.,False,0.045,0.0302,0.0421,
Adaptive AI,3,13644,12280,34047,965953,2728.8,1364.4,909.6,682.2,10,10,1364.4,0.2198,0.1364,0.9,0.075,Safe,Continue safe progressive warm-up.,False,0.0465,0.0327,0.0443,
Adaptive AI,4,16735,15062,50782,949218,3347.0,1673.5,1115.67,836.75,10,10,1673.5,0.2265,0.1673,0.9,0.0766,Safe,Continue safe progressive warm-up.,False,0.048,0.0358,0.0469,
Adaptive AI,5,20638,18574,71420,928580,4127.6,2063.8,1375.87,1031.9,10,10,2063.8,0.2332,0.2064,0.9,0.0783,Safe,Continue safe progressive warm-up.,False,0.0496,0.0397,0.0499,
Adaptive AI,6,25588,23029,97008,902992,5117.6,2558.8,1705.87,1279.4,10,10,2558.8,0.2398,0.2559,0.9,0.08,Safe,Continue safe progressive warm-up.,False,0.0512,0.0444,0.0536,
Adaptive AI,7,31897,28707,128905,871095,6379.4,3189.7,2126.47,1594.85,15,15,2126.47,0.2466,0.319,0.9,0.0816,Safe,Continue safe progressive warm-up.,False,0.0528,0.0505,0.0524,
Adaptive AI,8,39976,35978,168881,831119,7995.2,3997.6,2665.07,1998.8,15,15,2665.07,0.2533,0.3998,0.9,0.0833,Safe,Continue safe progressive warm-up.,False,0.0544,0.0583,0.0565,
Adaptive AI,9,50369,45332,219250,780750,10073.8,5036.9,3357.93,2518.45,15,15,3357.93,0.26,0.5037,0.9,0.085,Safe,Continue safe progressive warm-up.,False,0.0561,0.0683,0.0615,
Adaptive AI,10,63798,57418,283048,716952,12759.6,6379.8,4253.2,3189.9,15,15,4253.2,0.2666,0.638,0.9,0.0867,Safe,Continue safe progressive warm-up.,False,0.0578,0.0813,0.0679,
Adaptive AI,11,81234,73111,364282,635718,16246.8,8123.4,5415.6,4061.7,20,20,4061.7,0.2733,0.8123,0.9,0.0883,Safe,Continue safe progressive warm-up.,False,0.0595,0.0982,0.0681,
Adaptive AI,12,103977,93579,468259,531741,20795.4,10397.7,6931.8,5198.85,20,20,5198.85,0.28,1.0398,0.9,0.2228,Dangerous,Unsafe. Increase max days or reduce target volume.,False,0.1515,0.2985,0.1886,
Adaptive AI,13,133782,120404,602041,397959,26756.4,13378.2,8918.8,6689.1,20,20,6689.1,0.2866,1.3378,0.9,0.4331,Dangerous,Unsafe. Increase max days or reduce target volume.,False,0.2974,0.7094,0.4097,
Adaptive AI,14,173024,155722,775065,224935,34604.8,17302.4,11534.93,8651.2,20,20,8651.2,0.2933,1.7302,0.9,0.7095,Dangerous,Unsafe. Increase max days or reduce target volume.,False,0.4919,1.0,0.764,
Adaptive AI,15,224935,202442,1000000,0,44987.0,22493.5,14995.67,11246.75,20,20,11246.75,0.3,2.2494,0.9,0.99,Dangerous,Unsafe. Increase max days or reduce target volume.,True,0.693,1.0,1.0,
