FK_ID,Date,ID,Sent,R.Sent,Bounce,Total,Data.Interval,Server,Status,Offset,Limit,Server_Tab,Ips
"25718932","04/14 (23:58:43)","134738345","6730","0","0","6730","(243336 to 250066)","s_cmh2_6121","completed","243336","6730","s_cmh2_6121",",,23.19.114.9,,23.82.139.242,,,"
"25718931","04/14 (23:58:43)","134738344","30854","48","0","30920","(342000 to 372920)","s_cmh2_6101","completed","342000","80000","s_cmh2_6101",",,107.6.171.226,,107.6.171.227,,107.6.171.228,,107.6.171.229,,107.6.171.230,,,"
"25718854","04/14 (23:55:17)","134738241","6250","0","0","6250","(84000 to 90250)","s_cmh8_3583","completed","71500","18750","s_cmh8_3583",",,142.147.96.124,,,"
"25718854","04/14 (23:55:17)","134738242","6250","0","0","6250","(71500 to 77750)","s_cmh8_3617","completed","71500","18750","s_cmh8_3617",",,138.226.244.75,,,"
"25718854","04/14 (23:55:17)","134738243","6250","0","0","6250","(77750 to 84000)","s_cmh8_3656","completed","71500","18750","s_cmh8_3656",",,5.135.75.178,,,"
"25718692","04/14 (23:48:17)","134738022","6000","6002","0","6000","(53500 to 59500)","s_cmh8_3583","completed","53500","18000","s_cmh8_3583",",,142.147.96.126,,,"
"25718692","04/14 (23:48:17)","134738023","6000","6002","0","6000","(65500 to 71500)","s_cmh8_3617","completed","53500","18000","s_cmh8_3617",",,138.226.244.77,,,"
"25718692","04/14 (23:48:17)","134738024","6000","3","0","6000","(59500 to 65500)","s_cmh8_3656","completed","53500","18000","s_cmh8_3656",",,5.135.75.180,,,"
"25718532","04/14 (23:41:19)","134737790","182000","182000","0","182000","(0 to 182000)","s_cmh9_5687","completed","0","351000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25718532","04/14 (23:41:19)","134737791","169000","168992","0","169000","(182000 to 351000)","s_cmh9_5689","completed","0","351000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25718530","04/14 (23:41:17)","134737786","6500","6502","0","6500","(47000 to 53500)","s_cmh8_3583","completed","34000","19500","s_cmh8_3583",",,142.147.96.123,,,"
"25718530","04/14 (23:41:17)","134737787","6500","6500","0","6500","(40500 to 47000)","s_cmh8_3617","completed","34000","19500","s_cmh8_3617",",,138.226.244.74,,,"
"25718530","04/14 (23:41:17)","134737788","6500","6491","0","6500","(34000 to 40500)","s_cmh8_3656","completed","34000","19500","s_cmh8_3656",",,5.135.75.177,,,"
"25718240","04/14 (23:33:17)","134737415","12000","11999","0","12000","(358500 to 370500)","s_cmh11_1341","completed","262500","108000","s_cmh11_1341",",,192.227.72.165,,,"
"25718240","04/14 (23:33:17)","134737416","48000","48004","0","48000","(310500 to 358500)","s_cmh11_1343","completed","262500","108000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25718240","04/14 (23:33:17)","134737417","48000","48001","0","48000","(262500 to 310500)","s_cmh11_1372","completed","262500","108000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25718223","04/14 (23:32:51)","134737389","6500","6504","0","6500","(21000 to 27500)","s_cmh8_3583","completed","14500","19500","s_cmh8_3583",",,142.147.96.125,,,"
"25718223","04/14 (23:32:51)","134737390","6500","6504","0","6500","(27500 to 34000)","s_cmh8_3617","completed","14500","19500","s_cmh8_3617",",,138.226.244.76,,,"
"25718223","04/14 (23:32:51)","134737391","6500","6504","0","6500","(14500 to 21000)","s_cmh8_3656","completed","14500","19500","s_cmh8_3656",",,5.135.75.179,,,"
"25717213","04/14 (23:01:20)","134735966","157066","157063","0","157066","(70000 to 227066)","s_cmh9_5687","completed","70000","432000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
"25717213","04/14 (23:01:20)","134735967","145788","145783","0","145854","(227066 to 372920)","s_cmh9_5689","completed","70000","432000","s_cmh9_5689",",,23.231.25.47,,23.231.25.49,,23.231.25.51,,23.231.25.52,,23.231.25.53,,23.231.25.54,,23.231.25.55,,23.231.25.56,,23.231.25.57,,23.231.25.58,,23.231.25.59,,23.231.25.61,,23.231.25.62,,,"
"25717153","04/14 (22:58:17)","134735877","26500","16230","0","26500","(130000 to 156500)","s_cmh11_1341","completed","130000","132500","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25717153","04/14 (22:58:17)","134735878","53000","53002","0","53000","(209500 to 262500)","s_cmh11_1343","completed","130000","132500","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25717153","04/14 (22:58:17)","134735879","53000","52997","0","53000","(156500 to 209500)","s_cmh11_1372","completed","130000","132500","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25716266","04/14 (22:33:18)","134734699","70000","10113","0","70000","(0 to 70000)","s_cmh9_5702","completed","0","70000","s_cmh9_5702",",,89.116.64.219,,89.116.64.220,,89.116.64.240,,89.117.12.14,,89.117.12.18,,89.117.12.28,,89.117.12.48,,,"
"25715887","04/14 (22:23:17)","134734153","26000","26002","0","26000","(52000 to 78000)","s_cmh11_1341","completed","0","130000","s_cmh11_1341",",,192.227.72.165,,192.227.72.168,,,"
"25715887","04/14 (22:23:17)","134734154","52000","52005","0","52000","(78000 to 130000)","s_cmh11_1343","completed","0","130000","s_cmh11_1343",",,51.254.12.38,,51.254.12.39,,51.254.12.40,,51.254.12.41,,,"
"25715887","04/14 (22:23:17)","134734155","52000","52004","0","52000","(0 to 52000)","s_cmh11_1372","completed","0","130000","s_cmh11_1372",",,135.125.140.36,,135.125.140.51,,135.125.140.52,,217.182.198.9,,,"
"25715827","04/14 (22:21:20)","134734063","106246","106243","0","106246","(168000 to 274246)","s_cmh9_5687","completed","168000","405000","s_cmh9_5687",",,91.223.3.150,,91.223.3.186,,91.223.3.187,,91.223.3.189,,91.223.3.194,,91.223.3.195,,91.223.3.196,,91.223.3.197,,91.223.3.198,,91.223.3.199,,91.223.3.200,,91.223.3.204,,91.223.3.208,,91.223.3.209,,,"
