Date,Finished.At,Scheduled.At,Mailer,ID,Sent,R.Sent,SoftBounce,HardBounce,Total,Offer,Isp,Profile,Injected.Seeds,Server(s)
"15/04/2026 (00:58:43)","15/04/2026 (00:58:54)","","y.moghar","25718932","6730","0","0","0","6730","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (243336 to 250066)","0->1000","s_cmh2_6121"
"15/04/2026 (00:58:43)","15/04/2026 (00:59:01)","","y.moghar","25718931","30854","48","0","0","30920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH2 (Seeds) (CMH_List_Warmup_Centralise) (US) (342000 to 372920)","0->1000","s_cmh2_6101"
"15/04/2026 (00:55:17)","15/04/2026 (00:55:59)","","y.moghar","25718854","18750","0","0","0","18750","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (71500 to 90250)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"15/04/2026 (00:48:17)","15/04/2026 (00:49:15)","","y.moghar","25718692","18000","12007","0","0","18000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (53500 to 71500)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"15/04/2026 (00:41:19)","15/04/2026 (00:43:02)","","y.moghar","25718532","351000","350992","0","0","351000","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (0 to 351000)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"15/04/2026 (00:41:17)","15/04/2026 (00:42:21)","","y.moghar","25718530","19500","19493","0","0","19500","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (34000 to 53500)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"15/04/2026 (00:33:17)","15/04/2026 (00:33:35)","","y.moghar","25718240","108000","108004","0","0","108000","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (262500 to 370500)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
"15/04/2026 (00:32:51)","15/04/2026 (00:33:27)","","y.moghar","25718223","19500","19512","0","0","19500","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH8 (Seeds) (CMH_List_Warmup_Centralise) (US) (14500 to 34000)","0->1000","3 s_cmh8_3583 s_cmh8_3617 s_cmh8_3656"
"15/04/2026 (00:01:20)","15/04/2026 (00:02:55)","","y.moghar","25717213","302854","302846","0","0","302920","14141414 - test offer [REPORTING] [OPEN] [SD]","gmail","data_CMH9 (Seeds) (CMH_List_Warmup_Centralise) (US) (70000 to 372920)","0->1000","2 s_cmh9_5687 s_cmh9_5689"
"14/04/2026 (23:58:17)","14/04/2026 (23:58:37)","","y.moghar","25717153","132500","122229","0","1","132500","3301 test offer [REPORTING] [Tech offer] [Tech offer]","gmail","data_CMH11 (Seeds) (CMH_lList_Warmup_Centralise) (US) (130000 to 262500)","0->1000","3 s_cmh11_1341 s_cmh11_1343 s_cmh11_1372"
