scenario,day,daily_volume,drops_per_day,volume_per_drop,cumulative_volume,target_cumulative_volume,remaining_to_target,limit,limit_usage_ratio,growth_rate,time_gap_min,sent_ratio,risk_probability,spf_error_probability,dkim_error_probability,netblock_error_probability,error_probability,risk_zone,predicted_risk_zone,risk_probability_ratelimit,risk_probability_dangerous,risk_probability_netblock,error_probability_spf,error_probability_dkim,decision,severity,main_reason,recommendation,recommendation_text
moderate_strategy,1,1000,5,200.0,1000,1000000,999000.0,10000,0.1,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 1: daily volume = 1,000, cumulative volume = 1,000. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,2,1100,5,220.0,2100,1000000,997900.0,10000,0.11,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 2: daily volume = 1,100, cumulative volume = 2,100. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,3,1210,5,242.0,3310,1000000,996690.0,10000,0.121,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 3: daily volume = 1,210, cumulative volume = 3,310. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,4,1331,5,266.2,4641,1000000,995359.0,10000,0.1331,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 4: daily volume = 1,331, cumulative volume = 4,641. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,5,1464,5,292.8,6105,1000000,993895.0,10000,0.1464,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 5: daily volume = 1,464, cumulative volume = 6,105. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,6,1610,5,322.0,7715,1000000,992285.0,10000,0.161,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 6: daily volume = 1,610, cumulative volume = 7,715. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,7,1771,5,354.2,9486,1000000,990514.0,10000,0.1771,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 7: daily volume = 1,771, cumulative volume = 9,486. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,8,1948,5,389.6,11434,1000000,988566.0,10000,0.1948,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 8: daily volume = 1,948, cumulative volume = 11,434. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,9,2143,5,428.6,13577,1000000,986423.0,10000,0.2143,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 9: daily volume = 2,143, cumulative volume = 13,577. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,10,2357,5,471.4,15934,1000000,984066.0,10000,0.2357,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 10: daily volume = 2,357, cumulative volume = 15,934. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
moderate_strategy,11,2593,5,518.6,18527,1000000,981473.0,10000,0.2593,0.1,60,0.98,0.05,0.0,0.0,0.0,0.0,Safe,Safe,0,0,0,0,0,Continue strategy or increase slowly,LOW,"Low risk, good performance",Current strategy is acceptable. Increase volume only slowly and monitor risk.,"Scenario moderate_strategy - Day 11: daily volume = 2,593, cumulative volume = 18,527. Decision: Continue strategy or increase slowly. Reason: Low risk, good performance. Recommendation: Current strategy is acceptable. Increase volume only slowly and monitor risk."
