Target,Best_Model,Feature,Importance
initial_volume,ExtraTreesRegressor,num__first_limit,0.09100768801503319
initial_volume,ExtraTreesRegressor,num__first_offset,0.2193619768018717
initial_volume,ExtraTreesRegressor,num__safe_duration_days,0.09115502148514461
initial_volume,ExtraTreesRegressor,num__avg_limit_usage_ratio,0.05941897380103814
initial_volume,ExtraTreesRegressor,num__avg_sent_ratio,0.010032002612031488
initial_volume,ExtraTreesRegressor,num__avg_time_gap_min,0.022687299664040685
initial_volume,ExtraTreesRegressor,num__avg_drops_per_day,0.02518543428183693
initial_volume,ExtraTreesRegressor,num__max_daily_volume,0.011638029709763392
initial_volume,ExtraTreesRegressor,cat__entity_cmh11,0.027231513836211873
initial_volume,ExtraTreesRegressor,cat__entity_cmh15,0.012427100022182652
initial_volume,ExtraTreesRegressor,cat__entity_cmh2,0.030810514075734995
initial_volume,ExtraTreesRegressor,cat__entity_cmh6,0.009795010276724575
initial_volume,ExtraTreesRegressor,cat__entity_cmh8,0.0876734774748989
initial_volume,ExtraTreesRegressor,cat__entity_cmh9,0.3015759579434869
growth_rate,GradientBoostingRegressor,num__first_limit,0.176895432279085
growth_rate,GradientBoostingRegressor,num__first_offset,0.15399771090856532
growth_rate,GradientBoostingRegressor,num__safe_duration_days,0.017950433115058707
growth_rate,GradientBoostingRegressor,num__avg_limit_usage_ratio,0.11785677880659019
growth_rate,GradientBoostingRegressor,num__avg_sent_ratio,0.047340085044409605
growth_rate,GradientBoostingRegressor,num__avg_time_gap_min,0.008764674247915471
growth_rate,GradientBoostingRegressor,num__avg_drops_per_day,0.3576744700993099
growth_rate,GradientBoostingRegressor,num__max_daily_volume,0.11175545589901612
growth_rate,GradientBoostingRegressor,cat__entity_cmh11,0.0038851230163312804
growth_rate,GradientBoostingRegressor,cat__entity_cmh15,0.0
growth_rate,GradientBoostingRegressor,cat__entity_cmh2,1.482173565049394e-07
growth_rate,GradientBoostingRegressor,cat__entity_cmh6,7.159248347502582e-08
growth_rate,GradientBoostingRegressor,cat__entity_cmh8,0.003879238533203419
growth_rate,GradientBoostingRegressor,cat__entity_cmh9,3.782406748058782e-07
max_safe_volume,GradientBoostingRegressor,num__first_limit,0.046126062677669874
max_safe_volume,GradientBoostingRegressor,num__first_offset,0.0005315260513860532
max_safe_volume,GradientBoostingRegressor,num__safe_duration_days,0.8737697820560091
max_safe_volume,GradientBoostingRegressor,num__avg_limit_usage_ratio,0.000523053912109512
max_safe_volume,GradientBoostingRegressor,num__avg_sent_ratio,0.002259788788171639
max_safe_volume,GradientBoostingRegressor,num__avg_time_gap_min,0.0027474709433045683
max_safe_volume,GradientBoostingRegressor,num__avg_drops_per_day,0.032870154375541
max_safe_volume,GradientBoostingRegressor,num__max_daily_volume,0.04100655023517434
max_safe_volume,GradientBoostingRegressor,cat__entity_cmh11,1.0405188372657286e-10
max_safe_volume,GradientBoostingRegressor,cat__entity_cmh15,0.0
max_safe_volume,GradientBoostingRegressor,cat__entity_cmh2,0.0
max_safe_volume,GradientBoostingRegressor,cat__entity_cmh6,0.0
max_safe_volume,GradientBoostingRegressor,cat__entity_cmh8,0.0001655446180767994
max_safe_volume,GradientBoostingRegressor,cat__entity_cmh9,6.623850549360778e-08
time_gap_min,GradientBoostingRegressor,num__first_limit,0.0043158150408780845
time_gap_min,GradientBoostingRegressor,num__first_offset,2.845534461120917e-05
time_gap_min,GradientBoostingRegressor,num__safe_duration_days,0.9918133283362642
time_gap_min,GradientBoostingRegressor,num__avg_limit_usage_ratio,0.0006260536699623487
time_gap_min,GradientBoostingRegressor,num__avg_sent_ratio,8.087137302149786e-05
time_gap_min,GradientBoostingRegressor,num__avg_time_gap_min,0.0019256445836948076
time_gap_min,GradientBoostingRegressor,num__avg_drops_per_day,0.000978174569857729
time_gap_min,GradientBoostingRegressor,num__max_daily_volume,0.00023053788675011112
time_gap_min,GradientBoostingRegressor,cat__entity_cmh11,1.1191949599193251e-06
time_gap_min,GradientBoostingRegressor,cat__entity_cmh15,0.0
time_gap_min,GradientBoostingRegressor,cat__entity_cmh2,0.0
time_gap_min,GradientBoostingRegressor,cat__entity_cmh6,0.0
time_gap_min,GradientBoostingRegressor,cat__entity_cmh8,0.0
time_gap_min,GradientBoostingRegressor,cat__entity_cmh9,-9.487976859689228e-20
drops_per_day,ExtraTreesRegressor,num__first_limit,0.003985311766039924
drops_per_day,ExtraTreesRegressor,num__first_offset,0.01227468893035289
drops_per_day,ExtraTreesRegressor,num__safe_duration_days,0.00874955829084626
drops_per_day,ExtraTreesRegressor,num__avg_limit_usage_ratio,0.005468280527659342
drops_per_day,ExtraTreesRegressor,num__avg_sent_ratio,0.003699193632912776
drops_per_day,ExtraTreesRegressor,num__avg_time_gap_min,0.023954603671081324
drops_per_day,ExtraTreesRegressor,num__avg_drops_per_day,0.7105059415743089
drops_per_day,ExtraTreesRegressor,num__max_daily_volume,0.1399721582641491
drops_per_day,ExtraTreesRegressor,cat__entity_cmh11,0.0016533805694498064
drops_per_day,ExtraTreesRegressor,cat__entity_cmh15,0.003927359461030757
drops_per_day,ExtraTreesRegressor,cat__entity_cmh2,0.07015988988286999
drops_per_day,ExtraTreesRegressor,cat__entity_cmh6,0.006614556378280546
drops_per_day,ExtraTreesRegressor,cat__entity_cmh8,0.0053415367685941476
drops_per_day,ExtraTreesRegressor,cat__entity_cmh9,0.0036935402824241036
