feature,importance
sent_ratio,0.4242795223108636
limit_usage_ratio,0.3372178671644284
growth_rate,0.20514763784840945
cumulative_sent_per_ip,0.008799571557761714
daily_cumulative_sent_per_ip,0.005119003020519048
daily_volume,0.0034308452033556315
r_sent_per_ip,0.0023971510282818367
sent_per_ip,0.0022531779408062093
days_since_launch,0.0018150037624179909
volume_per_drop,0.0017407540218442063
limit_per_ip,0.0015922262252621433
time_gap_min,0.0015670056851733324
drops_per_day,0.0014054273168175447
offset,0.0011707823141740542
hour,0.0010737636035398023
volume_change,0.0004527105024783751
previous_sent_per_ip,0.00028349033100923235
day_of_week,0.0002540601628575133
