scenario,day,daily_volume,drops_per_day,volume_per_drop,cumulative_volume,target_cumulative_volume,remaining_to_target,limit,limit_usage_ratio,growth_rate,time_gap_min,estimated_sent_ratio,risk_probability,spf_error_probability,dkim_error_probability,netblock_error_probability,error_probability,risk_zone
aggressive_strategy,1,1400,8,175.0,1400,1000000,998600.0,8000,0.175,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,2,1680,8,210.0,3080,1000000,996920.0,8000,0.21,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,3,2016,8,252.0,5096,1000000,994904.0,8000,0.252,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,4,2419,8,302.38,7515,1000000,992485.0,8000,0.3024,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,5,2903,8,362.88,10418,1000000,989582.0,8000,0.3629,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,6,3484,8,435.5,13902,1000000,986098.0,8000,0.4355,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,7,4181,8,522.62,18083,1000000,981917.0,8000,0.5226,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,8,5017,8,627.12,23100,1000000,976900.0,8000,0.6271,0.2,30,0.98,0.11,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,9,6020,8,752.5,29120,1000000,970880.0,8000,0.7525,0.2,30,0.98,0.2022,0.0,0.0,0.0,0.0,Safe
aggressive_strategy,10,7224,8,903.0,36344,1000000,963656.0,8000,0.903,0.2,30,0.9682,0.3377,0.0,0.0,0.0,0.0,Risk
aggressive_strategy,11,8669,8,1083.62,45013,1000000,954987.0,8000,1.0836,0.2,30,0.8598,0.5003,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,12,10403,8,1300.38,55416,1000000,944584.0,8000,1.3004,0.2,30,0.7298,0.6953,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,13,12484,8,1560.5,67900,1000000,932100.0,8000,1.5605,0.2,30,0.5737,0.9295,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,14,14981,8,1872.62,82881,1000000,917119.0,8000,1.8726,0.2,30,0.3864,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,15,17977,8,2247.12,100858,1000000,899142.0,8000,2.2471,0.2,30,0.1617,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,16,21572,8,2696.5,122430,1000000,877570.0,8000,2.6965,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,17,25886,8,3235.75,148316,1000000,851684.0,8000,3.2357,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,18,31063,8,3882.88,179379,1000000,820621.0,8000,3.8829,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,19,37276,8,4659.5,216655,1000000,783345.0,8000,4.6595,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,20,44731,8,5591.38,261386,1000000,738614.0,8000,5.5914,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,21,53677,8,6709.62,315063,1000000,684937.0,8000,6.7096,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,22,64412,8,8051.5,379475,1000000,620525.0,8000,8.0515,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,23,77294,8,9661.75,456769,1000000,543231.0,8000,9.6617,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,24,92753,8,11594.12,549522,1000000,450478.0,8000,11.5941,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,25,111304,8,13913.0,660826,1000000,339174.0,8000,13.913,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,26,133565,8,16695.62,794391,1000000,205609.0,8000,16.6956,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,27,160278,8,20034.75,954669,1000000,45331.0,8000,20.0347,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,28,192334,8,24041.75,1147003,1000000,0.0,8000,24.0418,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,29,230801,8,28850.12,1377804,1000000,0.0,8000,28.8501,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
aggressive_strategy,30,276961,8,34620.12,1654765,1000000,0.0,8000,34.6201,0.2,30,0.0,0.99,0.0,0.0,0.0,0.0,Dangerous
