scenario,day,daily_volume,drops_per_day,volume_per_drop,cumulative_volume,target_cumulative_volume,remaining_to_target,limit,limit_usage_ratio,growth_rate,time_gap_min,estimated_sent_ratio,risk_probability,spf_error_probability,dkim_error_probability,netblock_error_probability,error_probability,risk_zone
safe_strategy,1,700,5,140.0,700,1000000,999300.0,12000,0.0583,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,2,735,5,147.0,1435,1000000,998565.0,12000,0.0612,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,3,772,5,154.4,2207,1000000,997793.0,12000,0.0643,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,4,811,5,162.2,3018,1000000,996982.0,12000,0.0676,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,5,852,5,170.4,3870,1000000,996130.0,12000,0.071,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,6,895,5,179.0,4765,1000000,995235.0,12000,0.0746,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,7,940,5,188.0,5705,1000000,994295.0,12000,0.0783,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,8,987,5,197.4,6692,1000000,993308.0,12000,0.0823,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,9,1036,5,207.2,7728,1000000,992272.0,12000,0.0863,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,10,1088,5,217.6,8816,1000000,991184.0,12000,0.0907,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,11,1142,5,228.4,9958,1000000,990042.0,12000,0.0952,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,12,1199,5,239.8,11157,1000000,988843.0,12000,0.0999,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,13,1259,5,251.8,12416,1000000,987584.0,12000,0.1049,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,14,1322,5,264.4,13738,1000000,986262.0,12000,0.1102,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,15,1388,5,277.6,15126,1000000,984874.0,12000,0.1157,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,16,1457,5,291.4,16583,1000000,983417.0,12000,0.1214,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,17,1530,5,306.0,18113,1000000,981887.0,12000,0.1275,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,18,1606,5,321.2,19719,1000000,980281.0,12000,0.1338,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,19,1686,5,337.2,21405,1000000,978595.0,12000,0.1405,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,20,1770,5,354.0,23175,1000000,976825.0,12000,0.1475,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,21,1858,5,371.6,25033,1000000,974967.0,12000,0.1548,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,22,1951,5,390.2,26984,1000000,973016.0,12000,0.1626,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,23,2049,5,409.8,29033,1000000,970967.0,12000,0.1708,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,24,2151,5,430.2,31184,1000000,968816.0,12000,0.1792,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,25,2259,5,451.8,33443,1000000,966557.0,12000,0.1883,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,26,2372,5,474.4,35815,1000000,964185.0,12000,0.1977,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,27,2491,5,498.2,38306,1000000,961694.0,12000,0.2076,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,28,2616,5,523.2,40922,1000000,959078.0,12000,0.218,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,29,2747,5,549.4,43669,1000000,956331.0,12000,0.2289,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
safe_strategy,30,2884,5,576.8,46553,1000000,953447.0,12000,0.2403,0.05,90,0.98,0.05,0.0,0.0,0.0,0.0,Safe
