ip,entity,first_limit,first_offset,avg_limit_usage_ratio,avg_sent_ratio,safe_duration_days,avg_time_gap_min,average_time_gap_min,avg_growth_rate,avg_drops_per_day,maximum_safe_volume,max_daily_volume,first_sent_per_ip,recommended_initial_volume,recommended_growth_rate,recommended_drops_per_day,recommended_time_gap_min,recommended_max_safe_volume
107.6.171.226,cmh2,13900,6412,0.8635555555555556,0.0025555555555555557,3,499.25111111111113,499.25111111111113,0.3882313184722732,3.2222222222222223,42170,42170,13900,4241,0.0015,3,159,41616
107.6.171.227,cmh2,13700,259700,0.9043666666666667,0.4529666666666667,3,145.215,145.215,0.6959550057465933,10.8,283905,283905,13700,4309,-0.005,9,164,77415
107.6.171.228,cmh2,13700,259700,0.9043666666666667,0.5758333333333333,3,145.215,145.215,0.6959771846531354,10.8,283904,283904,13700,4309,-0.0068,9,164,77415
107.6.171.229,cmh2,13900,6412,0.8465,0.343375,3,561.6575,561.6575,0.2405234018388438,2.5,26170,26170,13900,4107,0.0016,2,159,41616
107.6.171.230,cmh2,13700,259700,0.9043666666666667,0.8389000000000001,3,145.215,145.215,0.6960284447447924,10.8,283901,283901,13700,4309,-0.0051,9,164,77415
135.125.140.36,cmh11,15600,249200,0.328625,0.9974999999999999,4,170.19875,170.19875,0.46725773677658466,8.65,100834,100834,4800,4800,-0.0077,9,172,77511
135.125.140.51,cmh11,15600,249200,0.328625,1.0001250000000002,4,170.19875,170.19875,0.46725773677658466,8.65,100834,100834,4800,4800,-0.0077,9,172,77511
135.125.140.52,cmh11,15600,249200,0.3367857142857143,1.0000952380952381,4,162.09380952380954,162.09380952380954,0.4507097493110331,8.904761904761905,138445,138445,4800,4800,-0.0077,9,172,77511
138.226.244.74,cmh8,9300,44700,0.45821538461538464,0.9260307692307692,4,110.34,110.34,0.20141764077828614,13.061538461538461,82210,82210,3100,3319,-0.0916,13,164,77415
138.226.244.75,cmh8,5660,60700,0.47525641025641024,0.7235128205128205,4,183.5923076923077,183.5923076923077,0.06984572601360574,8.58974358974359,64710,64710,2830,2960,-0.0014,9,170,58088
138.226.244.76,cmh8,11700,33000,0.46738805970149255,0.9754029850746267,4,106.96925373134329,106.96925373134329,0.08726009222568942,20.34328358208955,147875,147875,3900,3880,0.0072,20,164,77377
138.226.244.77,cmh8,6700,54000,0.5643611111111111,0.7979166666666666,4,198.83555555555552,198.83555555555552,0.23899122102537035,7.277777777777778,60142,60142,3350,3349,0.0062,7,167,41087
142.147.96.123,cmh8,9300,44700,0.3979655172413793,0.9008275862068965,4,123.65706896551724,123.65706896551724,0.2190945658018857,11.689655172413794,64835,64835,3100,3311,-0.0993,11,162,59083
142.147.96.124,cmh8,9840,50340,0.4968636363636364,0.648,3,214.68,214.68,0.08919912217724574,6.2727272727272725,42159,42159,3280,3240,0.0041,6,162,41744
