ip,rank,feature,contribution_score,explanation
194.54.185.172,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.172,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.172,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.183,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.183,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.183,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.171,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.171,2,sent_ratio,1.0,Low sent ratio indicates delivery instability.
194.54.185.171,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.189,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.189,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.189,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.185,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.185,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.185,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.188,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.188,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.188,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.184,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.184,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.184,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.179,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.179,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.179,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.180,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.180,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.180,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.181,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.181,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.181,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.182,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.182,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.182,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.173,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.173,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.173,3,growth_rate,0.0,High growth increases reputation risk.
194.54.185.177,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.177,2,sent_ratio,0.664,Low sent ratio indicates delivery instability.
194.54.185.177,3,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
194.54.185.187,1,limit_usage_ratio,1.0,High limit usage puts pressure on the IP.
194.54.185.187,2,dkim_error_probability,0.0,DKIM probability may indicate authentication issues.
